Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
Chile,,,|,united-arab-emirates,4,-3732
Chile,,,|,united-arab-emirates,4,0
Chile,,,|,united-arab-emirates,4,0
Chile,,,|,united-arab-emirates,4,0
Chile,,,|,united-arab-emirates,5,1
Chile,,,|,united-arab-emirates,5,0
Chile,,,|,united-arab-emirates,5,0
Chile,,,|,united-arab-emirates,5,0
Chile,,,|,united-arab-emirates,5,0
Chile,,,|,united-arab-emirates,5,0
Chile,,,|,united-arab-emirates,7,2
Chile,,,|,united-arab-emirates,7,0
Chile,,,|,united-arab-emirates,8,1
Chile,,,|,united-arab-emirates,8,0
Chile,,,|,united-arab-emirates,8,0
Chile,,,|,united-arab-emirates,8,0
Chile,,,|,united-arab-emirates,8,0
Chile,,,|,united-arab-emirates,8,0
Chile,,,|,united-arab-emirates,9,1
Chile,,,|,united-arab-emirates,9,0
Chile,,,|,united-arab-emirates,9,0
Chile,,,|,united-arab-emirates,9,0
Chile,,,|,united-arab-emirates,9,0
Chile,,,|,united-arab-emirates,9,0
Chile,,,|,united-arab-emirates,13,4
Chile,,,|,united-arab-emirates,13,0
Chile,,,|,united-arab-emirates,13,0
Chile,,,|,united-arab-emirates,13,0
Chile,,,|,united-arab-emirates,13,0
Chile,,,|,united-arab-emirates,13,0
Chile,,,|,united-arab-emirates,19,6
Chile,,,|,united-arab-emirates,21,2
Chile,,,|,united-arab-emirates,21,0
Chile,1,,|,united-arab-emirates,21,0
Chile,1,0,|,united-arab-emirates,27,6
Chile,4,3,|,united-arab-emirates,27,0
Chile,4,0,|,united-arab-emirates,29,2
Chile,4,0,|,united-arab-emirates,29,0
Chile,8,4,|,united-arab-emirates,45,16
Chile,8,0,|,united-arab-emirates,45,0
Chile,13,5,|,united-arab-emirates,45,0
Chile,23,10,|,united-arab-emirates,74,29
Chile,23,0,|,united-arab-emirates,74,0
Chile,43,20,|,united-arab-emirates,85,11
Chile,61,18,|,united-arab-emirates,85,0
Chile,74,13,|,united-arab-emirates,85,0
Chile,155,81,|,united-arab-emirates,98,13
Chile,201,46,|,united-arab-emirates,98,0
Chile,238,37,|,united-arab-emirates,98,0
Chile,238,0,|,united-arab-emirates,113,15
Chile,434,196,|,united-arab-emirates,140,27
Chile,537,103,|,united-arab-emirates,140,0
Chile,632,95,|,united-arab-emirates,153,13
Chile,746,114,|,united-arab-emirates,153,0
Chile,922,176,|,united-arab-emirates,198,45
Chile,1142,220,|,united-arab-emirates,248,50
Chile,1306,164,|,united-arab-emirates,333,85
Chile,1610,304,|,united-arab-emirates,333,0
Chile,1909,299,|,united-arab-emirates,405,72
Chile,2139,230,|,united-arab-emirates,468,63
Chile,2449,310,|,united-arab-emirates,570,102
Chile,2738,289,|,united-arab-emirates,611,41
Chile,3031,293,|,united-arab-emirates,664,53
Chile,3404,373,|,united-arab-emirates,814,150
Chile,3737,333,|,united-arab-emirates,1024,210
Chile,4161,424,|,united-arab-emirates,1264,240
Chile,4471,310,|,united-arab-emirates,1505,241
Chile,4815,344,|,united-arab-emirates,1799,294
Chile,5116,301,|,united-arab-emirates,2076,277
Chile,5546,430,|,united-arab-emirates,2359,283
Chile,5972,426,|,united-arab-emirates,2659,300
Chile,6501,529,|,united-arab-emirates,2990,331
Chile,6927,426,|,united-arab-emirates,3360,370
Chile,,,|,united-arab-emirates,3736,376
