Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
Congo (Kinshasa),,,|,afghanistan,1,-554
Congo (Kinshasa),,,|,afghanistan,1,0
Congo (Kinshasa),,,|,afghanistan,1,0
Congo (Kinshasa),,,|,afghanistan,1,0
Congo (Kinshasa),,,|,afghanistan,1,0
Congo (Kinshasa),1,,|,afghanistan,1,0
Congo (Kinshasa),1,0,|,afghanistan,1,0
Congo (Kinshasa),2,1,|,afghanistan,1,0
Congo (Kinshasa),2,0,|,afghanistan,1,0
Congo (Kinshasa),2,0,|,afghanistan,1,0
Congo (Kinshasa),2,0,|,afghanistan,1,0
Congo (Kinshasa),3,1,|,afghanistan,1,0
Congo (Kinshasa),4,1,|,afghanistan,1,0
Congo (Kinshasa),14,10,|,afghanistan,4,3
Congo (Kinshasa),18,4,|,afghanistan,4,0
Congo (Kinshasa),23,5,|,afghanistan,5,1
Congo (Kinshasa),30,7,|,afghanistan,7,2
Congo (Kinshasa),36,6,|,afghanistan,7,0
Congo (Kinshasa),45,9,|,afghanistan,7,0
Congo (Kinshasa),48,3,|,afghanistan,11,4
Congo (Kinshasa),51,3,|,afghanistan,16,5
Congo (Kinshasa),51,0,|,afghanistan,21,5
Congo (Kinshasa),65,14,|,afghanistan,22,1
Congo (Kinshasa),65,0,|,afghanistan,22,0
Congo (Kinshasa),81,16,|,afghanistan,22,0
Congo (Kinshasa),98,17,|,afghanistan,24,2
Congo (Kinshasa),109,11,|,afghanistan,24,0
Congo (Kinshasa),134,25,|,afghanistan,40,16
Congo (Kinshasa),134,0,|,afghanistan,40,0
Congo (Kinshasa),154,20,|,afghanistan,74,34
Congo (Kinshasa),154,0,|,afghanistan,84,10
Congo (Kinshasa),161,7,|,afghanistan,94,10
Congo (Kinshasa),180,19,|,afghanistan,110,16
Congo (Kinshasa),180,0,|,afghanistan,110,0
Congo (Kinshasa),180,0,|,afghanistan,120,10
Congo (Kinshasa),215,35,|,afghanistan,170,50
Congo (Kinshasa),223,8,|,afghanistan,174,4
Congo (Kinshasa),,,|,afghanistan,237,63
Congo (Kinshasa),,,|,afghanistan,273,36
Congo (Kinshasa),,,|,afghanistan,281,8
Congo (Kinshasa),,,|,afghanistan,299,18
Congo (Kinshasa),,,|,afghanistan,349,50
Congo (Kinshasa),,,|,afghanistan,367,18
Congo (Kinshasa),,,|,afghanistan,423,56
Congo (Kinshasa),,,|,afghanistan,444,21
Congo (Kinshasa),,,|,afghanistan,484,40
Congo (Kinshasa),,,|,afghanistan,521,37
Congo (Kinshasa),,,|,afghanistan,555,34
