Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
Congo (Kinshasa),30,,|,djibouti,1,-186
Congo (Kinshasa),36,6,|,djibouti,1,0
Congo (Kinshasa),45,9,|,djibouti,1,0
Congo (Kinshasa),48,3,|,djibouti,1,0
Congo (Kinshasa),51,3,|,djibouti,1,0
Congo (Kinshasa),51,0,|,djibouti,3,2
Congo (Kinshasa),65,14,|,djibouti,3,0
Congo (Kinshasa),65,0,|,djibouti,11,8
Congo (Kinshasa),81,16,|,djibouti,11,0
Congo (Kinshasa),98,17,|,djibouti,12,1
Congo (Kinshasa),109,11,|,djibouti,14,2
Congo (Kinshasa),134,25,|,djibouti,18,4
Congo (Kinshasa),134,0,|,djibouti,18,0
Congo (Kinshasa),154,20,|,djibouti,30,12
Congo (Kinshasa),154,0,|,djibouti,33,3
Congo (Kinshasa),161,7,|,djibouti,40,7
Congo (Kinshasa),180,19,|,djibouti,49,9
Congo (Kinshasa),180,0,|,djibouti,50,1
Congo (Kinshasa),180,0,|,djibouti,59,9
Congo (Kinshasa),215,35,|,djibouti,90,31
Congo (Kinshasa),,,|,djibouti,90,0
Congo (Kinshasa),,,|,djibouti,135,45
Congo (Kinshasa),,,|,djibouti,135,0
Congo (Kinshasa),,,|,djibouti,150,15
Congo (Kinshasa),,,|,djibouti,187,37
