Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
Congo (Kinshasa),81,,|,greece,1,-2080
Congo (Kinshasa),98,17,|,greece,3,2
Congo (Kinshasa),109,11,|,greece,4,1
Congo (Kinshasa),134,25,|,greece,4,0
Congo (Kinshasa),134,0,|,greece,7,3
Congo (Kinshasa),154,20,|,greece,7,0
Congo (Kinshasa),154,0,|,greece,7,0
Congo (Kinshasa),161,7,|,greece,9,2
Congo (Kinshasa),180,19,|,greece,31,22
Congo (Kinshasa),180,0,|,greece,45,14
Congo (Kinshasa),180,0,|,greece,46,1
Congo (Kinshasa),215,35,|,greece,73,27
Congo (Kinshasa),,,|,greece,73,0
Congo (Kinshasa),,,|,greece,89,16
Congo (Kinshasa),,,|,greece,99,10
Congo (Kinshasa),,,|,greece,99,0
Congo (Kinshasa),,,|,greece,190,91
Congo (Kinshasa),,,|,greece,228,38
Congo (Kinshasa),,,|,greece,331,103
Congo (Kinshasa),,,|,greece,331,0
Congo (Kinshasa),,,|,greece,387,56
Congo (Kinshasa),,,|,greece,418,31
Congo (Kinshasa),,,|,greece,418,0
Congo (Kinshasa),,,|,greece,495,77
Congo (Kinshasa),,,|,greece,530,35
Congo (Kinshasa),,,|,greece,624,94
Congo (Kinshasa),,,|,greece,695,71
Congo (Kinshasa),,,|,greece,743,48
Congo (Kinshasa),,,|,greece,821,78
Congo (Kinshasa),,,|,greece,892,71
Congo (Kinshasa),,,|,greece,966,74
Congo (Kinshasa),,,|,greece,1061,95
Congo (Kinshasa),,,|,greece,1156,95
Congo (Kinshasa),,,|,greece,1212,56
Congo (Kinshasa),,,|,greece,1314,102
Congo (Kinshasa),,,|,greece,1415,101
Congo (Kinshasa),,,|,greece,1544,129
Congo (Kinshasa),,,|,greece,1613,69
Congo (Kinshasa),,,|,greece,1673,60
Congo (Kinshasa),,,|,greece,1735,62
Congo (Kinshasa),,,|,greece,1755,20
Congo (Kinshasa),,,|,greece,1832,77
Congo (Kinshasa),,,|,greece,1884,52
Congo (Kinshasa),,,|,greece,1955,71
Congo (Kinshasa),,,|,greece,2011,56
Congo (Kinshasa),,,|,greece,2081,70
