Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
Congo (Kinshasa),,,|,india,1,-8445
Congo (Kinshasa),,,|,india,1,0
Congo (Kinshasa),,,|,india,1,0
Congo (Kinshasa),,,|,india,2,1
Congo (Kinshasa),,,|,india,3,1
Congo (Kinshasa),,,|,india,3,0
Congo (Kinshasa),,,|,india,3,0
Congo (Kinshasa),,,|,india,3,0
Congo (Kinshasa),,,|,india,3,0
Congo (Kinshasa),,,|,india,3,0
Congo (Kinshasa),,,|,india,3,0
Congo (Kinshasa),,,|,india,3,0
Congo (Kinshasa),,,|,india,3,0
Congo (Kinshasa),,,|,india,3,0
Congo (Kinshasa),,,|,india,3,0
Congo (Kinshasa),,,|,india,3,0
Congo (Kinshasa),,,|,india,3,0
Congo (Kinshasa),1,,|,india,3,0
Congo (Kinshasa),1,0,|,india,3,0
Congo (Kinshasa),2,1,|,india,3,0
Congo (Kinshasa),2,0,|,india,3,0
Congo (Kinshasa),2,0,|,india,3,0
Congo (Kinshasa),2,0,|,india,3,0
Congo (Kinshasa),3,1,|,india,3,0
Congo (Kinshasa),4,1,|,india,3,0
Congo (Kinshasa),14,10,|,india,3,0
Congo (Kinshasa),18,4,|,india,3,0
Congo (Kinshasa),23,5,|,india,3,0
Congo (Kinshasa),30,7,|,india,3,0
Congo (Kinshasa),36,6,|,india,3,0
Congo (Kinshasa),45,9,|,india,3,0
Congo (Kinshasa),48,3,|,india,3,0
Congo (Kinshasa),51,3,|,india,5,2
Congo (Kinshasa),51,0,|,india,5,0
Congo (Kinshasa),65,14,|,india,28,23
Congo (Kinshasa),65,0,|,india,30,2
Congo (Kinshasa),81,16,|,india,31,1
Congo (Kinshasa),98,17,|,india,34,3
Congo (Kinshasa),109,11,|,india,39,5
Congo (Kinshasa),134,25,|,india,43,4
Congo (Kinshasa),134,0,|,india,56,13
Congo (Kinshasa),154,20,|,india,62,6
Congo (Kinshasa),154,0,|,india,73,11
Congo (Kinshasa),161,7,|,india,82,9
Congo (Kinshasa),180,19,|,india,102,20
Congo (Kinshasa),180,0,|,india,113,11
Congo (Kinshasa),180,0,|,india,119,6
Congo (Kinshasa),215,35,|,india,142,23
Congo (Kinshasa),223,8,|,india,156,14
Congo (Kinshasa),,,|,india,194,38
Congo (Kinshasa),,,|,india,244,50
Congo (Kinshasa),,,|,india,330,86
Congo (Kinshasa),,,|,india,396,66
Congo (Kinshasa),,,|,india,499,103
Congo (Kinshasa),,,|,india,536,37
Congo (Kinshasa),,,|,india,657,121
Congo (Kinshasa),,,|,india,727,70
Congo (Kinshasa),,,|,india,887,160
Congo (Kinshasa),,,|,india,987,100
Congo (Kinshasa),,,|,india,1024,37
Congo (Kinshasa),,,|,india,1251,227
Congo (Kinshasa),,,|,india,1397,146
Congo (Kinshasa),,,|,india,1998,601
Congo (Kinshasa),,,|,india,2543,545
Congo (Kinshasa),,,|,india,2567,24
Congo (Kinshasa),,,|,india,3082,515
Congo (Kinshasa),,,|,india,3588,506
Congo (Kinshasa),,,|,india,4778,1190
Congo (Kinshasa),,,|,india,5311,533
Congo (Kinshasa),,,|,india,5916,605
Congo (Kinshasa),,,|,india,6725,809
Congo (Kinshasa),,,|,india,7598,873
Congo (Kinshasa),,,|,india,8446,848
