Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
Congo (Kinshasa),,,|,latvia,1,-629
Congo (Kinshasa),,,|,latvia,1,0
Congo (Kinshasa),,,|,latvia,1,0
Congo (Kinshasa),,,|,latvia,1,0
Congo (Kinshasa),,,|,latvia,1,0
Congo (Kinshasa),,,|,latvia,1,0
Congo (Kinshasa),,,|,latvia,2,1
Congo (Kinshasa),1,,|,latvia,6,4
Congo (Kinshasa),1,0,|,latvia,8,2
Congo (Kinshasa),2,1,|,latvia,10,2
Congo (Kinshasa),2,0,|,latvia,10,0
Congo (Kinshasa),2,0,|,latvia,17,7
Congo (Kinshasa),2,0,|,latvia,26,9
Congo (Kinshasa),3,1,|,latvia,30,4
Congo (Kinshasa),4,1,|,latvia,34,4
Congo (Kinshasa),14,10,|,latvia,49,15
Congo (Kinshasa),18,4,|,latvia,71,22
Congo (Kinshasa),23,5,|,latvia,86,15
Congo (Kinshasa),30,7,|,latvia,111,25
Congo (Kinshasa),36,6,|,latvia,124,13
Congo (Kinshasa),45,9,|,latvia,139,15
Congo (Kinshasa),48,3,|,latvia,180,41
Congo (Kinshasa),51,3,|,latvia,197,17
Congo (Kinshasa),51,0,|,latvia,221,24
Congo (Kinshasa),65,14,|,latvia,244,23
Congo (Kinshasa),65,0,|,latvia,280,36
Congo (Kinshasa),81,16,|,latvia,305,25
Congo (Kinshasa),98,17,|,latvia,347,42
Congo (Kinshasa),109,11,|,latvia,376,29
Congo (Kinshasa),134,25,|,latvia,398,22
Congo (Kinshasa),134,0,|,latvia,446,48
Congo (Kinshasa),154,20,|,latvia,458,12
Congo (Kinshasa),154,0,|,latvia,493,35
Congo (Kinshasa),161,7,|,latvia,509,16
Congo (Kinshasa),180,19,|,latvia,533,24
Congo (Kinshasa),180,0,|,latvia,542,9
Congo (Kinshasa),180,0,|,latvia,548,6
Congo (Kinshasa),215,35,|,latvia,577,29
Congo (Kinshasa),223,8,|,latvia,589,12
Congo (Kinshasa),,,|,latvia,612,23
Congo (Kinshasa),,,|,latvia,630,18
