Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
Congo (Kinshasa),134,,|,mauritius,3,-316
Congo (Kinshasa),134,0,|,mauritius,3,0
Congo (Kinshasa),154,20,|,mauritius,12,9
Congo (Kinshasa),154,0,|,mauritius,14,2
Congo (Kinshasa),161,7,|,mauritius,28,14
Congo (Kinshasa),180,19,|,mauritius,36,8
Congo (Kinshasa),180,0,|,mauritius,42,6
Congo (Kinshasa),180,0,|,mauritius,48,6
Congo (Kinshasa),215,35,|,mauritius,81,33
Congo (Kinshasa),,,|,mauritius,94,13
Congo (Kinshasa),,,|,mauritius,102,8
Congo (Kinshasa),,,|,mauritius,107,5
Congo (Kinshasa),,,|,mauritius,128,21
Congo (Kinshasa),,,|,mauritius,143,15
Congo (Kinshasa),,,|,mauritius,161,18
Congo (Kinshasa),,,|,mauritius,169,8
Congo (Kinshasa),,,|,mauritius,186,17
Congo (Kinshasa),,,|,mauritius,196,10
Congo (Kinshasa),,,|,mauritius,227,31
Congo (Kinshasa),,,|,mauritius,244,17
Congo (Kinshasa),,,|,mauritius,268,24
Congo (Kinshasa),,,|,mauritius,273,5
Congo (Kinshasa),,,|,mauritius,314,41
Congo (Kinshasa),,,|,mauritius,318,4
Congo (Kinshasa),,,|,mauritius,319,1
