Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
Congo (Kinshasa),134,,|,trinidad-and-tobago,2,-110
Congo (Kinshasa),154,20,|,trinidad-and-tobago,2,0
Congo (Kinshasa),154,0,|,trinidad-and-tobago,4,2
Congo (Kinshasa),161,7,|,trinidad-and-tobago,5,1
Congo (Kinshasa),180,19,|,trinidad-and-tobago,7,2
Congo (Kinshasa),180,0,|,trinidad-and-tobago,9,2
Congo (Kinshasa),180,0,|,trinidad-and-tobago,9,0
Congo (Kinshasa),215,35,|,trinidad-and-tobago,49,40
Congo (Kinshasa),,,|,trinidad-and-tobago,50,1
Congo (Kinshasa),,,|,trinidad-and-tobago,51,1
Congo (Kinshasa),,,|,trinidad-and-tobago,57,6
Congo (Kinshasa),,,|,trinidad-and-tobago,60,3
Congo (Kinshasa),,,|,trinidad-and-tobago,65,5
Congo (Kinshasa),,,|,trinidad-and-tobago,66,1
Congo (Kinshasa),,,|,trinidad-and-tobago,74,8
Congo (Kinshasa),,,|,trinidad-and-tobago,78,4
Congo (Kinshasa),,,|,trinidad-and-tobago,82,4
Congo (Kinshasa),,,|,trinidad-and-tobago,87,5
Congo (Kinshasa),,,|,trinidad-and-tobago,90,3
Congo (Kinshasa),,,|,trinidad-and-tobago,94,4
Congo (Kinshasa),,,|,trinidad-and-tobago,98,4
Congo (Kinshasa),,,|,trinidad-and-tobago,103,5
Congo (Kinshasa),,,|,trinidad-and-tobago,104,1
Congo (Kinshasa),,,|,trinidad-and-tobago,105,1
Congo (Kinshasa),,,|,trinidad-and-tobago,107,2
Congo (Kinshasa),,,|,trinidad-and-tobago,107,0
Congo (Kinshasa),,,|,trinidad-and-tobago,109,2
Congo (Kinshasa),,,|,trinidad-and-tobago,109,0
Congo (Kinshasa),,,|,trinidad-and-tobago,112,3
