Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
Costa Rica,26,,|,burkina-faso,1,-483
Costa Rica,27,1,|,burkina-faso,2,1
Costa Rica,35,8,|,burkina-faso,2,0
Costa Rica,41,6,|,burkina-faso,2,0
Costa Rica,50,9,|,burkina-faso,2,0
Costa Rica,69,19,|,burkina-faso,3,1
Costa Rica,89,20,|,burkina-faso,15,12
Costa Rica,117,28,|,burkina-faso,15,0
Costa Rica,134,17,|,burkina-faso,20,5
Costa Rica,158,24,|,burkina-faso,33,13
Costa Rica,177,19,|,burkina-faso,40,7
Costa Rica,201,24,|,burkina-faso,64,24
Costa Rica,231,30,|,burkina-faso,75,11
Costa Rica,263,32,|,burkina-faso,99,24
Costa Rica,295,32,|,burkina-faso,114,15
Costa Rica,314,19,|,burkina-faso,146,32
Costa Rica,330,16,|,burkina-faso,152,6
Costa Rica,347,17,|,burkina-faso,180,28
Costa Rica,375,28,|,burkina-faso,207,27
Costa Rica,396,21,|,burkina-faso,222,15
Costa Rica,416,20,|,burkina-faso,246,24
Costa Rica,435,19,|,burkina-faso,261,15
Costa Rica,454,19,|,burkina-faso,282,21
Costa Rica,467,13,|,burkina-faso,288,6
Costa Rica,483,16,|,burkina-faso,302,14
Costa Rica,502,19,|,burkina-faso,318,16
Costa Rica,539,37,|,burkina-faso,345,27
Costa Rica,558,19,|,burkina-faso,364,19
Costa Rica,,,|,burkina-faso,384,20
Costa Rica,,,|,burkina-faso,414,30
Costa Rica,,,|,burkina-faso,443,29
Costa Rica,,,|,burkina-faso,443,0
Costa Rica,,,|,burkina-faso,484,41
