Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
Costa Rica,89,,|,cyprus,2,-614
Costa Rica,117,28,|,cyprus,3,1
Costa Rica,134,17,|,cyprus,6,3
Costa Rica,158,24,|,cyprus,6,0
Costa Rica,177,19,|,cyprus,14,8
Costa Rica,201,24,|,cyprus,26,12
Costa Rica,231,30,|,cyprus,26,0
Costa Rica,263,32,|,cyprus,33,7
Costa Rica,295,32,|,cyprus,46,13
Costa Rica,314,19,|,cyprus,49,3
Costa Rica,330,16,|,cyprus,67,18
Costa Rica,347,17,|,cyprus,67,0
Costa Rica,375,28,|,cyprus,84,17
Costa Rica,396,21,|,cyprus,95,11
Costa Rica,416,20,|,cyprus,116,21
Costa Rica,435,19,|,cyprus,124,8
Costa Rica,454,19,|,cyprus,132,8
Costa Rica,467,13,|,cyprus,146,14
Costa Rica,483,16,|,cyprus,162,16
Costa Rica,502,19,|,cyprus,179,17
Costa Rica,539,37,|,cyprus,214,35
Costa Rica,558,19,|,cyprus,230,16
Costa Rica,,,|,cyprus,262,32
Costa Rica,,,|,cyprus,320,58
Costa Rica,,,|,cyprus,356,36
Costa Rica,,,|,cyprus,396,40
Costa Rica,,,|,cyprus,426,30
Costa Rica,,,|,cyprus,446,20
Costa Rica,,,|,cyprus,465,19
Costa Rica,,,|,cyprus,494,29
Costa Rica,,,|,cyprus,526,32
Costa Rica,,,|,cyprus,564,38
Costa Rica,,,|,cyprus,595,31
Costa Rica,,,|,cyprus,616,21
