Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
Costa Rica,27,,|,macedonia,1,-759
Costa Rica,35,8,|,macedonia,1,0
Costa Rica,41,6,|,macedonia,1,0
Costa Rica,50,9,|,macedonia,1,0
Costa Rica,69,19,|,macedonia,1,0
Costa Rica,89,20,|,macedonia,1,0
Costa Rica,117,28,|,macedonia,1,0
Costa Rica,134,17,|,macedonia,1,0
Costa Rica,158,24,|,macedonia,1,0
Costa Rica,177,19,|,macedonia,3,2
Costa Rica,201,24,|,macedonia,3,0
Costa Rica,231,30,|,macedonia,3,0
Costa Rica,263,32,|,macedonia,3,0
Costa Rica,295,32,|,macedonia,7,4
Costa Rica,314,19,|,macedonia,7,0
Costa Rica,330,16,|,macedonia,7,0
Costa Rica,347,17,|,macedonia,14,7
Costa Rica,375,28,|,macedonia,14,0
Costa Rica,396,21,|,macedonia,14,0
Costa Rica,416,20,|,macedonia,18,4
Costa Rica,435,19,|,macedonia,26,8
Costa Rica,454,19,|,macedonia,35,9
Costa Rica,467,13,|,macedonia,48,13
Costa Rica,483,16,|,macedonia,67,19
Costa Rica,502,19,|,macedonia,85,18
Costa Rica,539,37,|,macedonia,115,30
Costa Rica,558,19,|,macedonia,136,21
Costa Rica,,,|,macedonia,148,12
Costa Rica,,,|,macedonia,177,29
Costa Rica,,,|,macedonia,201,24
Costa Rica,,,|,macedonia,219,18
Costa Rica,,,|,macedonia,241,22
Costa Rica,,,|,macedonia,259,18
Costa Rica,,,|,macedonia,285,26
Costa Rica,,,|,macedonia,329,44
Costa Rica,,,|,macedonia,354,25
Costa Rica,,,|,macedonia,384,30
Costa Rica,,,|,macedonia,430,46
Costa Rica,,,|,macedonia,483,53
Costa Rica,,,|,macedonia,555,72
Costa Rica,,,|,macedonia,570,15
Costa Rica,,,|,macedonia,599,29
Costa Rica,,,|,macedonia,617,18
Costa Rica,,,|,macedonia,663,46
Costa Rica,,,|,macedonia,711,48
Costa Rica,,,|,macedonia,760,49
