Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
Costa Rica,13,,|,palestine,4,-264
Costa Rica,22,9,|,palestine,7,3
Costa Rica,23,1,|,palestine,16,9
Costa Rica,26,3,|,palestine,16,0
Costa Rica,27,1,|,palestine,19,3
Costa Rica,35,8,|,palestine,26,7
Costa Rica,41,6,|,palestine,30,4
Costa Rica,50,9,|,palestine,30,0
Costa Rica,69,19,|,palestine,31,1
Costa Rica,89,20,|,palestine,35,4
Costa Rica,117,28,|,palestine,38,3
Costa Rica,134,17,|,palestine,38,0
Costa Rica,158,24,|,palestine,39,1
Costa Rica,177,19,|,palestine,41,2
Costa Rica,201,24,|,palestine,44,3
Costa Rica,231,30,|,palestine,47,3
Costa Rica,263,32,|,palestine,48,1
Costa Rica,295,32,|,palestine,52,4
Costa Rica,314,19,|,palestine,59,7
Costa Rica,330,16,|,palestine,59,0
Costa Rica,347,17,|,palestine,59,0
Costa Rica,375,28,|,palestine,84,25
Costa Rica,396,21,|,palestine,91,7
Costa Rica,416,20,|,palestine,98,7
Costa Rica,435,19,|,palestine,109,11
Costa Rica,454,19,|,palestine,116,7
Costa Rica,467,13,|,palestine,119,3
Costa Rica,483,16,|,palestine,134,15
Costa Rica,502,19,|,palestine,161,27
Costa Rica,539,37,|,palestine,194,33
Costa Rica,558,19,|,palestine,217,23
Costa Rica,,,|,palestine,237,20
Costa Rica,,,|,palestine,254,17
Costa Rica,,,|,palestine,261,7
Costa Rica,,,|,palestine,263,2
Costa Rica,,,|,palestine,263,0
Costa Rica,,,|,palestine,267,4
Costa Rica,,,|,palestine,268,1
