Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
Costa Rica,295,,|,slovakia,1,-727
Costa Rica,314,19,|,slovakia,1,0
Costa Rica,330,16,|,slovakia,3,2
Costa Rica,347,17,|,slovakia,3,0
Costa Rica,375,28,|,slovakia,7,4
Costa Rica,396,21,|,slovakia,10,3
Costa Rica,416,20,|,slovakia,16,6
Costa Rica,435,19,|,slovakia,32,16
Costa Rica,454,19,|,slovakia,44,12
Costa Rica,467,13,|,slovakia,54,10
Costa Rica,483,16,|,slovakia,63,9
Costa Rica,502,19,|,slovakia,72,9
Costa Rica,539,37,|,slovakia,105,33
Costa Rica,558,19,|,slovakia,123,18
Costa Rica,,,|,slovakia,137,14
Costa Rica,,,|,slovakia,178,41
Costa Rica,,,|,slovakia,185,7
Costa Rica,,,|,slovakia,186,1
Costa Rica,,,|,slovakia,204,18
Costa Rica,,,|,slovakia,216,12
Costa Rica,,,|,slovakia,226,10
Costa Rica,,,|,slovakia,269,43
Costa Rica,,,|,slovakia,292,23
Costa Rica,,,|,slovakia,314,22
Costa Rica,,,|,slovakia,336,22
Costa Rica,,,|,slovakia,363,27
Costa Rica,,,|,slovakia,400,37
Costa Rica,,,|,slovakia,426,26
Costa Rica,,,|,slovakia,450,24
Costa Rica,,,|,slovakia,471,21
Costa Rica,,,|,slovakia,485,14
Costa Rica,,,|,slovakia,534,49
Costa Rica,,,|,slovakia,581,47
Costa Rica,,,|,slovakia,682,101
Costa Rica,,,|,slovakia,701,19
Costa Rica,,,|,slovakia,715,14
Costa Rica,,,|,slovakia,728,13
