Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
Costa Rica,231,,|,uzbekistan,1,-766
Costa Rica,263,32,|,uzbekistan,6,5
Costa Rica,295,32,|,uzbekistan,10,4
Costa Rica,314,19,|,uzbekistan,15,5
Costa Rica,330,16,|,uzbekistan,23,8
Costa Rica,347,17,|,uzbekistan,33,10
Costa Rica,375,28,|,uzbekistan,43,10
Costa Rica,396,21,|,uzbekistan,43,0
Costa Rica,416,20,|,uzbekistan,46,3
Costa Rica,435,19,|,uzbekistan,50,4
Costa Rica,454,19,|,uzbekistan,60,10
Costa Rica,467,13,|,uzbekistan,75,15
Costa Rica,483,16,|,uzbekistan,88,13
Costa Rica,502,19,|,uzbekistan,104,16
Costa Rica,539,37,|,uzbekistan,144,40
Costa Rica,558,19,|,uzbekistan,149,5
Costa Rica,,,|,uzbekistan,172,23
Costa Rica,,,|,uzbekistan,181,9
Costa Rica,,,|,uzbekistan,205,24
Costa Rica,,,|,uzbekistan,227,22
Costa Rica,,,|,uzbekistan,266,39
Costa Rica,,,|,uzbekistan,342,76
Costa Rica,,,|,uzbekistan,457,115
Costa Rica,,,|,uzbekistan,520,63
Costa Rica,,,|,uzbekistan,545,25
Costa Rica,,,|,uzbekistan,582,37
Costa Rica,,,|,uzbekistan,624,42
Costa Rica,,,|,uzbekistan,767,143
