Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
Cuba,,,|,finland,1,-2904
Cuba,,,|,finland,1,0
Cuba,,,|,finland,1,0
Cuba,,,|,finland,1,0
Cuba,,,|,finland,1,0
Cuba,,,|,finland,1,0
Cuba,,,|,finland,1,0
Cuba,,,|,finland,1,0
Cuba,,,|,finland,1,0
Cuba,,,|,finland,1,0
Cuba,,,|,finland,1,0
Cuba,,,|,finland,1,0
Cuba,,,|,finland,1,0
Cuba,,,|,finland,1,0
Cuba,,,|,finland,1,0
Cuba,,,|,finland,1,0
Cuba,,,|,finland,1,0
Cuba,,,|,finland,1,0
Cuba,,,|,finland,1,0
Cuba,,,|,finland,1,0
Cuba,,,|,finland,1,0
Cuba,,,|,finland,1,0
Cuba,3,,|,finland,1,0
Cuba,4,1,|,finland,1,0
Cuba,4,0,|,finland,1,0
Cuba,4,0,|,finland,1,0
Cuba,4,0,|,finland,1,0
Cuba,5,1,|,finland,1,0
Cuba,7,2,|,finland,2,1
Cuba,11,4,|,finland,2,0
Cuba,16,5,|,finland,2,0
Cuba,21,5,|,finland,3,1
Cuba,35,14,|,finland,6,3
Cuba,40,5,|,finland,6,0
Cuba,48,8,|,finland,6,0
Cuba,57,9,|,finland,6,0
Cuba,67,10,|,finland,12,6
Cuba,80,13,|,finland,15,3
Cuba,119,39,|,finland,15,0
Cuba,139,20,|,finland,23,8
Cuba,170,31,|,finland,30,7
Cuba,186,16,|,finland,40,10
Cuba,212,26,|,finland,59,19
Cuba,233,21,|,finland,59,0
Cuba,269,36,|,finland,155,96
Cuba,288,19,|,finland,225,70
Cuba,320,32,|,finland,244,19
Cuba,350,30,|,finland,277,33
Cuba,396,46,|,finland,321,44
Cuba,457,61,|,finland,336,15
Cuba,515,58,|,finland,400,64
Cuba,564,49,|,finland,450,50
Cuba,620,56,|,finland,523,73
Cuba,,,|,finland,626,103
Cuba,,,|,finland,700,74
Cuba,,,|,finland,792,92
Cuba,,,|,finland,880,88
Cuba,,,|,finland,958,78
Cuba,,,|,finland,1041,83
Cuba,,,|,finland,1167,126
Cuba,,,|,finland,1240,73
Cuba,,,|,finland,1352,112
Cuba,,,|,finland,1418,66
Cuba,,,|,finland,1446,28
Cuba,,,|,finland,1518,72
Cuba,,,|,finland,1615,97
Cuba,,,|,finland,1882,267
Cuba,,,|,finland,1927,45
Cuba,,,|,finland,2176,249
Cuba,,,|,finland,2308,132
Cuba,,,|,finland,2487,179
Cuba,,,|,finland,2605,118
Cuba,,,|,finland,2769,164
Cuba,,,|,finland,2905,136
