Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
Cuba,,,|,hungary,2,-1308
Cuba,3,,|,hungary,2,0
Cuba,4,1,|,hungary,2,0
Cuba,4,0,|,hungary,4,2
Cuba,4,0,|,hungary,7,3
Cuba,4,0,|,hungary,9,2
Cuba,5,1,|,hungary,9,0
Cuba,7,2,|,hungary,13,4
Cuba,11,4,|,hungary,13,0
Cuba,16,5,|,hungary,19,6
Cuba,21,5,|,hungary,30,11
Cuba,35,14,|,hungary,32,2
Cuba,40,5,|,hungary,39,7
Cuba,48,8,|,hungary,50,11
Cuba,57,9,|,hungary,58,8
Cuba,67,10,|,hungary,73,15
Cuba,80,13,|,hungary,85,12
Cuba,119,39,|,hungary,103,18
Cuba,139,20,|,hungary,131,28
Cuba,170,31,|,hungary,167,36
Cuba,186,16,|,hungary,187,20
Cuba,212,26,|,hungary,226,39
Cuba,233,21,|,hungary,261,35
Cuba,269,36,|,hungary,300,39
Cuba,288,19,|,hungary,343,43
Cuba,320,32,|,hungary,408,65
Cuba,350,30,|,hungary,447,39
Cuba,396,46,|,hungary,492,45
Cuba,457,61,|,hungary,525,33
Cuba,515,58,|,hungary,585,60
Cuba,564,49,|,hungary,623,38
Cuba,620,56,|,hungary,678,55
Cuba,,,|,hungary,733,55
Cuba,,,|,hungary,744,11
Cuba,,,|,hungary,817,73
Cuba,,,|,hungary,895,78
Cuba,,,|,hungary,980,85
Cuba,,,|,hungary,1190,210
Cuba,,,|,hungary,1310,120
