Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
Cuba,4,,|,morocco,1,-1544
Cuba,5,1,|,morocco,1,0
Cuba,7,2,|,morocco,1,0
Cuba,11,4,|,morocco,2,1
Cuba,16,5,|,morocco,2,0
Cuba,21,5,|,morocco,2,0
Cuba,35,14,|,morocco,2,0
Cuba,40,5,|,morocco,2,0
Cuba,48,8,|,morocco,3,1
Cuba,57,9,|,morocco,5,2
Cuba,67,10,|,morocco,6,1
Cuba,80,13,|,morocco,7,1
Cuba,119,39,|,morocco,17,10
Cuba,139,20,|,morocco,28,11
Cuba,170,31,|,morocco,29,1
Cuba,186,16,|,morocco,38,9
Cuba,212,26,|,morocco,49,11
Cuba,233,21,|,morocco,63,14
Cuba,269,36,|,morocco,77,14
Cuba,288,19,|,morocco,96,19
Cuba,320,32,|,morocco,115,19
Cuba,350,30,|,morocco,143,28
Cuba,396,46,|,morocco,170,27
Cuba,457,61,|,morocco,225,55
Cuba,515,58,|,morocco,275,50
Cuba,564,49,|,morocco,345,70
Cuba,,,|,morocco,402,57
Cuba,,,|,morocco,479,77
Cuba,,,|,morocco,556,77
Cuba,,,|,morocco,617,61
Cuba,,,|,morocco,654,37
Cuba,,,|,morocco,708,54
Cuba,,,|,morocco,791,83
Cuba,,,|,morocco,919,128
Cuba,,,|,morocco,1021,102
Cuba,,,|,morocco,1120,99
Cuba,,,|,morocco,1184,64
Cuba,,,|,morocco,1275,91
Cuba,,,|,morocco,1374,99
Cuba,,,|,morocco,1448,74
Cuba,,,|,morocco,1545,97
