Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
Cuba,,,|,russia,2,-13582
Cuba,,,|,russia,2,0
Cuba,,,|,russia,2,0
Cuba,,,|,russia,2,0
Cuba,,,|,russia,2,0
Cuba,,,|,russia,2,0
Cuba,,,|,russia,2,0
Cuba,,,|,russia,2,0
Cuba,,,|,russia,2,0
Cuba,,,|,russia,2,0
Cuba,,,|,russia,2,0
Cuba,,,|,russia,2,0
Cuba,,,|,russia,2,0
Cuba,,,|,russia,2,0
Cuba,,,|,russia,2,0
Cuba,,,|,russia,2,0
Cuba,,,|,russia,2,0
Cuba,,,|,russia,2,0
Cuba,,,|,russia,2,0
Cuba,,,|,russia,2,0
Cuba,,,|,russia,2,0
Cuba,3,,|,russia,2,0
Cuba,4,1,|,russia,2,0
Cuba,4,0,|,russia,2,0
Cuba,4,0,|,russia,2,0
Cuba,4,0,|,russia,2,0
Cuba,5,1,|,russia,2,0
Cuba,7,2,|,russia,2,0
Cuba,11,4,|,russia,2,0
Cuba,16,5,|,russia,2,0
Cuba,21,5,|,russia,2,0
Cuba,35,14,|,russia,3,1
Cuba,40,5,|,russia,3,0
Cuba,48,8,|,russia,3,0
Cuba,57,9,|,russia,4,1
Cuba,67,10,|,russia,13,9
Cuba,80,13,|,russia,13,0
Cuba,119,39,|,russia,17,4
Cuba,139,20,|,russia,17,0
Cuba,170,31,|,russia,20,3
Cuba,186,16,|,russia,20,0
Cuba,212,26,|,russia,28,8
Cuba,233,21,|,russia,45,17
Cuba,269,36,|,russia,59,14
Cuba,288,19,|,russia,63,4
Cuba,320,32,|,russia,90,27
Cuba,350,30,|,russia,114,24
Cuba,396,46,|,russia,147,33
Cuba,457,61,|,russia,199,52
Cuba,515,58,|,russia,253,54
Cuba,564,49,|,russia,306,53
Cuba,620,56,|,russia,367,61
Cuba,,,|,russia,438,71
Cuba,,,|,russia,495,57
Cuba,,,|,russia,658,163
Cuba,,,|,russia,840,182
Cuba,,,|,russia,1036,196
Cuba,,,|,russia,1264,228
Cuba,,,|,russia,1534,270
Cuba,,,|,russia,1836,302
Cuba,,,|,russia,2337,501
Cuba,,,|,russia,2777,440
Cuba,,,|,russia,3548,771
Cuba,,,|,russia,4149,601
Cuba,,,|,russia,4731,582
Cuba,,,|,russia,5389,658
Cuba,,,|,russia,6343,954
Cuba,,,|,russia,7497,1154
Cuba,,,|,russia,8672,1175
Cuba,,,|,russia,10131,1459
Cuba,,,|,russia,11917,1786
Cuba,,,|,russia,13584,1667
