Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
Cuba,,,|,singapore,1,-2298
Cuba,,,|,singapore,3,2
Cuba,,,|,singapore,3,0
Cuba,,,|,singapore,4,1
Cuba,,,|,singapore,5,1
Cuba,,,|,singapore,7,2
Cuba,,,|,singapore,7,0
Cuba,,,|,singapore,10,3
Cuba,,,|,singapore,13,3
Cuba,,,|,singapore,16,3
Cuba,,,|,singapore,18,2
Cuba,,,|,singapore,18,0
Cuba,,,|,singapore,24,6
Cuba,,,|,singapore,28,4
Cuba,,,|,singapore,28,0
Cuba,,,|,singapore,30,2
Cuba,,,|,singapore,33,3
Cuba,,,|,singapore,40,7
Cuba,,,|,singapore,45,5
Cuba,,,|,singapore,47,2
Cuba,,,|,singapore,50,3
Cuba,,,|,singapore,58,8
Cuba,,,|,singapore,67,9
Cuba,,,|,singapore,72,5
Cuba,,,|,singapore,75,3
Cuba,,,|,singapore,77,2
Cuba,,,|,singapore,81,4
Cuba,,,|,singapore,84,3
Cuba,,,|,singapore,84,0
Cuba,,,|,singapore,85,1
Cuba,,,|,singapore,85,0
Cuba,,,|,singapore,89,4
Cuba,,,|,singapore,89,0
Cuba,,,|,singapore,91,2
Cuba,3,,|,singapore,93,2
Cuba,4,1,|,singapore,93,0
Cuba,4,0,|,singapore,93,0
Cuba,4,0,|,singapore,102,9
Cuba,4,0,|,singapore,106,4
Cuba,5,1,|,singapore,108,2
Cuba,7,2,|,singapore,110,2
Cuba,11,4,|,singapore,110,0
Cuba,16,5,|,singapore,117,7
Cuba,21,5,|,singapore,130,13
Cuba,35,14,|,singapore,138,8
Cuba,40,5,|,singapore,150,12
Cuba,48,8,|,singapore,150,0
Cuba,57,9,|,singapore,160,10
Cuba,67,10,|,singapore,178,18
Cuba,80,13,|,singapore,178,0
Cuba,119,39,|,singapore,200,22
Cuba,139,20,|,singapore,212,12
Cuba,170,31,|,singapore,226,14
Cuba,186,16,|,singapore,243,17
Cuba,212,26,|,singapore,266,23
Cuba,233,21,|,singapore,313,47
Cuba,269,36,|,singapore,345,32
Cuba,288,19,|,singapore,385,40
Cuba,320,32,|,singapore,432,47
Cuba,350,30,|,singapore,455,23
Cuba,396,46,|,singapore,509,54
Cuba,457,61,|,singapore,558,49
Cuba,515,58,|,singapore,631,73
Cuba,564,49,|,singapore,683,52
Cuba,620,56,|,singapore,732,49
Cuba,,,|,singapore,802,70
Cuba,,,|,singapore,844,42
Cuba,,,|,singapore,879,35
Cuba,,,|,singapore,926,47
Cuba,,,|,singapore,1000,74
Cuba,,,|,singapore,1049,49
Cuba,,,|,singapore,1114,65
Cuba,,,|,singapore,1189,75
Cuba,,,|,singapore,1309,120
Cuba,,,|,singapore,1375,66
Cuba,,,|,singapore,1481,106
Cuba,,,|,singapore,1623,142
Cuba,,,|,singapore,1910,287
Cuba,,,|,singapore,2108,198
Cuba,,,|,singapore,2299,191
