Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
Denmark,3,,|,austria,2,-13804
Denmark,4,1,|,austria,2,0
Denmark,4,0,|,austria,3,1
Denmark,6,2,|,austria,3,0
Denmark,11,5,|,austria,9,6
Denmark,11,0,|,austria,14,5
Denmark,24,13,|,austria,18,4
Denmark,24,0,|,austria,21,3
Denmark,37,13,|,austria,29,8
Denmark,92,55,|,austria,41,12
Denmark,264,172,|,austria,55,14
Denmark,444,180,|,austria,79,24
Denmark,617,173,|,austria,104,25
Denmark,804,187,|,austria,131,27
Denmark,836,32,|,austria,182,51
Denmark,875,39,|,austria,246,64
Denmark,933,58,|,austria,302,56
Denmark,1025,92,|,austria,504,202
Denmark,1116,91,|,austria,655,151
Denmark,1225,109,|,austria,860,205
Denmark,1337,112,|,austria,1018,158
Denmark,1420,83,|,austria,1332,314
Denmark,1514,94,|,austria,1646,314
Denmark,1572,58,|,austria,2013,367
Denmark,1718,146,|,austria,2388,375
Denmark,1862,144,|,austria,2814,426
Denmark,2023,161,|,austria,3582,768
Denmark,2200,177,|,austria,4474,892
Denmark,2366,166,|,austria,5283,809
Denmark,2564,198,|,austria,5588,305
Denmark,2755,191,|,austria,6909,1321
Denmark,3039,284,|,austria,7657,748
Denmark,3290,251,|,austria,8271,614
Denmark,3573,283,|,austria,8788,517
Denmark,3946,373,|,austria,9618,830
Denmark,4269,323,|,austria,10180,562
Denmark,4561,292,|,austria,10711,531
Denmark,4875,314,|,austria,11129,418
Denmark,5266,391,|,austria,11524,395
Denmark,5597,331,|,austria,11781,257
Denmark,5830,233,|,austria,12051,270
Denmark,6014,184,|,austria,12297,246
Denmark,,,|,austria,12639,342
Denmark,,,|,austria,12942,303
Denmark,,,|,austria,13244,302
Denmark,,,|,austria,13555,311
Denmark,,,|,austria,13806,251
