Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
Denmark,37,,|,norway,1,-6408
Denmark,92,55,|,norway,1,0
Denmark,264,172,|,norway,6,5
Denmark,444,180,|,norway,15,9
Denmark,617,173,|,norway,19,4
Denmark,804,187,|,norway,25,6
Denmark,836,32,|,norway,32,7
Denmark,875,39,|,norway,56,24
Denmark,933,58,|,norway,87,31
Denmark,1025,92,|,norway,108,21
Denmark,1116,91,|,norway,147,39
Denmark,1225,109,|,norway,176,29
Denmark,1337,112,|,norway,205,29
Denmark,1420,83,|,norway,400,195
Denmark,1514,94,|,norway,598,198
Denmark,1572,58,|,norway,702,104
Denmark,1718,146,|,norway,996,294
Denmark,1862,144,|,norway,1090,94
Denmark,2023,161,|,norway,1221,131
Denmark,2200,177,|,norway,1333,112
Denmark,2366,166,|,norway,1463,130
Denmark,2564,198,|,norway,1550,87
Denmark,2755,191,|,norway,1746,196
Denmark,3039,284,|,norway,1914,168
Denmark,3290,251,|,norway,2118,204
Denmark,3573,283,|,norway,2385,267
Denmark,3946,373,|,norway,2621,236
Denmark,4269,323,|,norway,2863,242
Denmark,4561,292,|,norway,3084,221
Denmark,4875,314,|,norway,3369,285
Denmark,5266,391,|,norway,3755,386
Denmark,5597,331,|,norway,4015,260
Denmark,5830,233,|,norway,4284,269
Denmark,6014,184,|,norway,4445,161
Denmark,,,|,norway,4641,196
Denmark,,,|,norway,4863,222
Denmark,,,|,norway,5147,284
Denmark,,,|,norway,5370,223
Denmark,,,|,norway,5550,180
Denmark,,,|,norway,5687,137
Denmark,,,|,norway,5865,178
Denmark,,,|,norway,6086,221
Denmark,,,|,norway,6086,0
Denmark,,,|,norway,6211,125
Denmark,,,|,norway,6314,103
Denmark,,,|,norway,6409,95
