Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
Denmark,1,,|,pakistan,2,-5009
Denmark,1,0,|,pakistan,2,0
Denmark,3,2,|,pakistan,2,0
Denmark,4,1,|,pakistan,4,2
Denmark,4,0,|,pakistan,4,0
Denmark,6,2,|,pakistan,4,0
Denmark,11,5,|,pakistan,5,1
Denmark,11,0,|,pakistan,5,0
Denmark,24,13,|,pakistan,5,0
Denmark,24,0,|,pakistan,6,1
Denmark,37,13,|,pakistan,6,0
Denmark,92,55,|,pakistan,6,0
Denmark,264,172,|,pakistan,6,0
Denmark,444,180,|,pakistan,16,10
Denmark,617,173,|,pakistan,19,3
Denmark,804,187,|,pakistan,20,1
Denmark,836,32,|,pakistan,28,8
Denmark,875,39,|,pakistan,31,3
Denmark,933,58,|,pakistan,53,22
Denmark,1025,92,|,pakistan,136,83
Denmark,1116,91,|,pakistan,236,100
Denmark,1225,109,|,pakistan,299,63
Denmark,1337,112,|,pakistan,454,155
Denmark,1420,83,|,pakistan,501,47
Denmark,1514,94,|,pakistan,730,229
Denmark,1572,58,|,pakistan,776,46
Denmark,1718,146,|,pakistan,875,99
Denmark,1862,144,|,pakistan,972,97
Denmark,2023,161,|,pakistan,1063,91
Denmark,2200,177,|,pakistan,1201,138
Denmark,2366,166,|,pakistan,1373,172
Denmark,2564,198,|,pakistan,1495,122
Denmark,2755,191,|,pakistan,1597,102
Denmark,3039,284,|,pakistan,1717,120
Denmark,3290,251,|,pakistan,1938,221
Denmark,3573,283,|,pakistan,2118,180
Denmark,3946,373,|,pakistan,2421,303
Denmark,4269,323,|,pakistan,2686,265
Denmark,4561,292,|,pakistan,2818,132
Denmark,4875,314,|,pakistan,3157,339
Denmark,5266,391,|,pakistan,3766,609
Denmark,5597,331,|,pakistan,4035,269
Denmark,5830,233,|,pakistan,4263,228
Denmark,6014,184,|,pakistan,4489,226
Denmark,6191,177,|,pakistan,4695,206
Denmark,,,|,pakistan,5011,316
