Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
Denmark,4,,|,qatar,1,-2727
Denmark,6,2,|,qatar,3,2
Denmark,11,5,|,qatar,3,0
Denmark,11,0,|,qatar,7,4
Denmark,24,13,|,qatar,8,1
Denmark,24,0,|,qatar,8,0
Denmark,37,13,|,qatar,8,0
Denmark,92,55,|,qatar,8,0
Denmark,264,172,|,qatar,15,7
Denmark,444,180,|,qatar,18,3
Denmark,617,173,|,qatar,24,6
Denmark,804,187,|,qatar,262,238
Denmark,836,32,|,qatar,262,0
Denmark,875,39,|,qatar,320,58
Denmark,933,58,|,qatar,337,17
Denmark,1025,92,|,qatar,401,64
Denmark,1116,91,|,qatar,439,38
Denmark,1225,109,|,qatar,439,0
Denmark,1337,112,|,qatar,452,13
Denmark,1420,83,|,qatar,460,8
Denmark,1514,94,|,qatar,470,10
Denmark,1572,58,|,qatar,481,11
Denmark,1718,146,|,qatar,494,13
Denmark,1862,144,|,qatar,501,7
Denmark,2023,161,|,qatar,526,25
Denmark,2200,177,|,qatar,537,11
Denmark,2366,166,|,qatar,549,12
Denmark,2564,198,|,qatar,562,13
Denmark,2755,191,|,qatar,590,28
Denmark,3039,284,|,qatar,634,44
Denmark,3290,251,|,qatar,693,59
Denmark,3573,283,|,qatar,781,88
Denmark,3946,373,|,qatar,835,54
Denmark,4269,323,|,qatar,949,114
Denmark,4561,292,|,qatar,1075,126
Denmark,4875,314,|,qatar,1325,250
Denmark,5266,391,|,qatar,1604,279
Denmark,5597,331,|,qatar,1832,228
Denmark,5830,233,|,qatar,2057,225
Denmark,6014,184,|,qatar,2210,153
Denmark,,,|,qatar,2376,166
Denmark,,,|,qatar,2512,136
Denmark,,,|,qatar,2728,216
