Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
Denmark,4,,|,romania,1,-5989
Denmark,4,0,|,romania,1,0
Denmark,6,2,|,romania,3,2
Denmark,11,5,|,romania,3,0
Denmark,11,0,|,romania,3,0
Denmark,24,13,|,romania,3,0
Denmark,24,0,|,romania,3,0
Denmark,37,13,|,romania,4,1
Denmark,92,55,|,romania,6,2
Denmark,264,172,|,romania,9,3
Denmark,444,180,|,romania,9,0
Denmark,617,173,|,romania,15,6
Denmark,804,187,|,romania,15,0
Denmark,836,32,|,romania,25,10
Denmark,875,39,|,romania,45,20
Denmark,933,58,|,romania,49,4
Denmark,1025,92,|,romania,89,40
Denmark,1116,91,|,romania,123,34
Denmark,1225,109,|,romania,131,8
Denmark,1337,112,|,romania,158,27
Denmark,1420,83,|,romania,184,26
Denmark,1514,94,|,romania,260,76
Denmark,1572,58,|,romania,277,17
Denmark,1718,146,|,romania,308,31
Denmark,1862,144,|,romania,367,59
Denmark,2023,161,|,romania,433,66
Denmark,2200,177,|,romania,576,143
Denmark,2366,166,|,romania,794,218
Denmark,2564,198,|,romania,906,112
Denmark,2755,191,|,romania,1029,123
Denmark,3039,284,|,romania,1292,263
Denmark,3290,251,|,romania,1452,160
Denmark,3573,283,|,romania,1815,363
Denmark,3946,373,|,romania,2109,294
Denmark,4269,323,|,romania,2245,136
Denmark,4561,292,|,romania,2460,215
Denmark,4875,314,|,romania,2738,278
Denmark,5266,391,|,romania,3183,445
Denmark,5597,331,|,romania,3613,430
Denmark,5830,233,|,romania,3864,251
Denmark,6014,184,|,romania,4057,193
Denmark,,,|,romania,4417,360
Denmark,,,|,romania,4761,344
Denmark,,,|,romania,5202,441
Denmark,,,|,romania,5467,265
Denmark,,,|,romania,5990,523
