Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
Denmark,24,,|,serbia,1,-3379
Denmark,37,13,|,serbia,1,0
Denmark,92,55,|,serbia,1,0
Denmark,264,172,|,serbia,1,0
Denmark,444,180,|,serbia,5,4
Denmark,617,173,|,serbia,12,7
Denmark,804,187,|,serbia,19,7
Denmark,836,32,|,serbia,35,16
Denmark,875,39,|,serbia,46,11
Denmark,933,58,|,serbia,48,2
Denmark,1025,92,|,serbia,55,7
Denmark,1116,91,|,serbia,65,10
Denmark,1225,109,|,serbia,83,18
Denmark,1337,112,|,serbia,103,20
Denmark,1420,83,|,serbia,135,32
Denmark,1514,94,|,serbia,171,36
Denmark,1572,58,|,serbia,222,51
Denmark,1718,146,|,serbia,249,27
Denmark,1862,144,|,serbia,303,54
Denmark,2023,161,|,serbia,384,81
Denmark,2200,177,|,serbia,384,0
Denmark,2366,166,|,serbia,457,73
Denmark,2564,198,|,serbia,659,202
Denmark,2755,191,|,serbia,741,82
Denmark,3039,284,|,serbia,785,44
Denmark,3290,251,|,serbia,900,115
Denmark,3573,283,|,serbia,1060,160
Denmark,3946,373,|,serbia,1171,111
Denmark,4269,323,|,serbia,1476,305
Denmark,4561,292,|,serbia,1624,148
Denmark,4875,314,|,serbia,1908,284
Denmark,5266,391,|,serbia,2200,292
Denmark,5597,331,|,serbia,2447,247
Denmark,5830,233,|,serbia,2666,219
Denmark,6014,184,|,serbia,2867,201
Denmark,,,|,serbia,3105,238
Denmark,,,|,serbia,3380,275
