Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
Ecuador,3465,,|,china,548,-82466
Ecuador,3646,181,|,china,643,95
Ecuador,3747,101,|,china,920,277
Ecuador,3747,0,|,china,1406,486
Ecuador,4450,703,|,china,2075,669
Ecuador,4965,515,|,china,2877,802
Ecuador,7161,2196,|,china,5509,2632
Ecuador,,,|,china,6087,578
Ecuador,,,|,china,8141,2054
Ecuador,,,|,china,9802,1661
Ecuador,,,|,china,11891,2089
Ecuador,,,|,china,16630,4739
Ecuador,,,|,china,19716,3086
Ecuador,,,|,china,23707,3991
Ecuador,,,|,china,27440,3733
Ecuador,,,|,china,30587,3147
Ecuador,,,|,china,34110,3523
Ecuador,,,|,china,36814,2704
Ecuador,,,|,china,39829,3015
Ecuador,,,|,china,42354,2525
Ecuador,,,|,china,44386,2032
Ecuador,,,|,china,44759,373
Ecuador,,,|,china,59895,15136
Ecuador,,,|,china,66358,6463
Ecuador,,,|,china,68413,2055
Ecuador,,,|,china,70513,2100
Ecuador,,,|,china,72434,1921
Ecuador,,,|,china,74211,1777
Ecuador,,,|,china,74619,408
Ecuador,,,|,china,75077,458
Ecuador,,,|,china,75550,473
Ecuador,,,|,china,77001,1451
Ecuador,,,|,china,77022,21
Ecuador,,,|,china,77241,219
Ecuador,,,|,china,77754,513
Ecuador,,,|,china,78166,412
Ecuador,,,|,china,78600,434
Ecuador,,,|,china,78928,328
Ecuador,,,|,china,79356,428
Ecuador,,,|,china,79932,576
Ecuador,,,|,china,80136,204
Ecuador,,,|,china,80261,125
Ecuador,,,|,china,80386,125
Ecuador,,,|,china,80537,151
Ecuador,,,|,china,80690,153
Ecuador,,,|,china,80770,80
Ecuador,,,|,china,80823,53
Ecuador,,,|,china,80860,37
Ecuador,,,|,china,80887,27
Ecuador,,,|,china,80921,34
Ecuador,,,|,china,80932,11
Ecuador,,,|,china,80945,13
Ecuador,,,|,china,80977,32
Ecuador,,,|,china,81003,26
Ecuador,,,|,china,81033,30
Ecuador,,,|,china,81058,25
Ecuador,,,|,china,81102,44
Ecuador,,,|,china,81156,54
Ecuador,,,|,china,81250,94
Ecuador,,,|,china,81305,55
Ecuador,,,|,china,81435,130
Ecuador,,,|,china,81498,63
Ecuador,,,|,china,81591,93
Ecuador,,,|,china,81661,70
Ecuador,,,|,china,81782,121
Ecuador,,,|,china,81897,115
Ecuador,,,|,china,81999,102
Ecuador,,,|,china,82122,123
Ecuador,,,|,china,82198,76
Ecuador,,,|,china,82279,81
Ecuador,,,|,china,82361,82
Ecuador,,,|,china,82432,71
Ecuador,,,|,china,82511,79
Ecuador,,,|,china,82543,32
Ecuador,,,|,china,82602,59
Ecuador,,,|,china,82665,63
Ecuador,,,|,china,82718,53
Ecuador,,,|,china,82809,91
Ecuador,,,|,china,82883,74
Ecuador,,,|,china,82941,58
Ecuador,,,|,china,83014,73
