Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
Egypt,,,|,australia,4,-6299
Egypt,,,|,australia,5,1
Egypt,,,|,australia,5,0
Egypt,,,|,australia,6,1
Egypt,,,|,australia,9,3
Egypt,,,|,australia,9,0
Egypt,,,|,australia,12,3
Egypt,,,|,australia,12,0
Egypt,,,|,australia,12,0
Egypt,,,|,australia,13,1
Egypt,,,|,australia,13,0
Egypt,,,|,australia,14,1
Egypt,,,|,australia,15,1
Egypt,,,|,australia,15,0
Egypt,,,|,australia,15,0
Egypt,,,|,australia,15,0
Egypt,,,|,australia,15,0
Egypt,,,|,australia,15,0
Egypt,1,,|,australia,15,0
Egypt,1,0,|,australia,15,0
Egypt,1,0,|,australia,15,0
Egypt,1,0,|,australia,15,0
Egypt,1,0,|,australia,15,0
Egypt,1,0,|,australia,15,0
Egypt,1,0,|,australia,15,0
Egypt,1,0,|,australia,15,0
Egypt,1,0,|,australia,15,0
Egypt,1,0,|,australia,15,0
Egypt,1,0,|,australia,15,0
Egypt,1,0,|,australia,15,0
Egypt,1,0,|,australia,15,0
Egypt,1,0,|,australia,15,0
Egypt,1,0,|,australia,15,0
Egypt,1,0,|,australia,15,0
Egypt,2,1,|,australia,25,10
Egypt,2,0,|,australia,27,2
Egypt,2,0,|,australia,30,3
Egypt,2,0,|,australia,39,9
Egypt,3,1,|,australia,52,13
Egypt,15,12,|,australia,55,3
Egypt,15,0,|,australia,60,5
Egypt,49,34,|,australia,63,3
Egypt,55,6,|,australia,76,13
Egypt,59,4,|,australia,91,15
Egypt,60,1,|,australia,107,16
Egypt,67,7,|,australia,128,21
Egypt,80,13,|,australia,128,0
Egypt,109,29,|,australia,200,72
Egypt,110,1,|,australia,250,50
Egypt,150,40,|,australia,297,47
Egypt,196,46,|,australia,377,80
Egypt,196,0,|,australia,452,75
Egypt,256,60,|,australia,568,116
Egypt,285,29,|,australia,681,113
Egypt,294,9,|,australia,791,110
Egypt,327,33,|,australia,1071,280
Egypt,366,39,|,australia,1549,478
Egypt,402,36,|,australia,1682,133
Egypt,456,54,|,australia,2044,362
Egypt,495,39,|,australia,2364,320
Egypt,536,41,|,australia,2810,446
Egypt,576,40,|,australia,3143,333
Egypt,609,33,|,australia,3640,497
Egypt,656,47,|,australia,3984,344
Egypt,710,54,|,australia,4361,377
Egypt,779,69,|,australia,4559,198
Egypt,865,86,|,australia,4862,303
Egypt,985,120,|,australia,5116,254
Egypt,1070,85,|,australia,5330,214
Egypt,1173,103,|,australia,5550,220
Egypt,1322,149,|,australia,5687,137
Egypt,1450,128,|,australia,5797,110
Egypt,1560,110,|,australia,5895,98
Egypt,1699,139,|,australia,6010,115
Egypt,1794,95,|,australia,6108,98
Egypt,1939,145,|,australia,6215,107
Egypt,,,|,australia,6303,88
