Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
Egypt,,,|,china,548,-82466
Egypt,,,|,china,643,95
Egypt,,,|,china,920,277
Egypt,,,|,china,1406,486
Egypt,,,|,china,2075,669
Egypt,,,|,china,2877,802
Egypt,,,|,china,5509,2632
Egypt,,,|,china,6087,578
Egypt,,,|,china,8141,2054
Egypt,,,|,china,9802,1661
Egypt,,,|,china,11891,2089
Egypt,,,|,china,16630,4739
Egypt,1,,|,china,19716,3086
Egypt,1,0,|,china,23707,3991
Egypt,1,0,|,china,27440,3733
Egypt,1,0,|,china,30587,3147
Egypt,1,0,|,china,34110,3523
Egypt,1,0,|,china,36814,2704
Egypt,1,0,|,china,39829,3015
Egypt,1,0,|,china,42354,2525
Egypt,1,0,|,china,44386,2032
Egypt,1,0,|,china,44759,373
Egypt,1,0,|,china,59895,15136
Egypt,1,0,|,china,66358,6463
Egypt,1,0,|,china,68413,2055
Egypt,1,0,|,china,70513,2100
Egypt,1,0,|,china,72434,1921
Egypt,1,0,|,china,74211,1777
Egypt,2,1,|,china,74619,408
Egypt,2,0,|,china,75077,458
Egypt,2,0,|,china,75550,473
Egypt,2,0,|,china,77001,1451
Egypt,3,1,|,china,77022,21
Egypt,15,12,|,china,77241,219
Egypt,15,0,|,china,77754,513
Egypt,49,34,|,china,78166,412
Egypt,55,6,|,china,78600,434
Egypt,59,4,|,china,78928,328
Egypt,60,1,|,china,79356,428
Egypt,67,7,|,china,79932,576
Egypt,80,13,|,china,80136,204
Egypt,109,29,|,china,80261,125
Egypt,110,1,|,china,80386,125
Egypt,150,40,|,china,80537,151
Egypt,196,46,|,china,80690,153
Egypt,196,0,|,china,80770,80
Egypt,256,60,|,china,80823,53
Egypt,285,29,|,china,80860,37
Egypt,294,9,|,china,80887,27
Egypt,327,33,|,china,80921,34
Egypt,366,39,|,china,80932,11
Egypt,402,36,|,china,80945,13
Egypt,456,54,|,china,80977,32
Egypt,495,39,|,china,81003,26
Egypt,536,41,|,china,81033,30
Egypt,576,40,|,china,81058,25
Egypt,609,33,|,china,81102,44
Egypt,656,47,|,china,81156,54
Egypt,710,54,|,china,81250,94
Egypt,779,69,|,china,81305,55
Egypt,865,86,|,china,81435,130
Egypt,985,120,|,china,81498,63
Egypt,1070,85,|,china,81591,93
Egypt,1173,103,|,china,81661,70
Egypt,1322,149,|,china,81782,121
Egypt,1450,128,|,china,81897,115
Egypt,1560,110,|,china,81999,102
Egypt,1699,139,|,china,82122,123
Egypt,1794,95,|,china,82198,76
Egypt,1939,145,|,china,82279,81
Egypt,,,|,china,82361,82
Egypt,,,|,china,82432,71
Egypt,,,|,china,82511,79
Egypt,,,|,china,82543,32
Egypt,,,|,china,82602,59
Egypt,,,|,china,82665,63
Egypt,,,|,china,82718,53
Egypt,,,|,china,82809,91
Egypt,,,|,china,82883,74
Egypt,,,|,china,82941,58
Egypt,,,|,china,83014,73
