Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
Egypt,150,,|,denmark,1,-6190
Egypt,196,46,|,denmark,1,0
Egypt,196,0,|,denmark,3,2
Egypt,256,60,|,denmark,4,1
Egypt,285,29,|,denmark,4,0
Egypt,294,9,|,denmark,6,2
Egypt,327,33,|,denmark,11,5
Egypt,366,39,|,denmark,11,0
Egypt,402,36,|,denmark,24,13
Egypt,456,54,|,denmark,24,0
Egypt,495,39,|,denmark,37,13
Egypt,536,41,|,denmark,92,55
Egypt,576,40,|,denmark,264,172
Egypt,609,33,|,denmark,444,180
Egypt,656,47,|,denmark,617,173
Egypt,710,54,|,denmark,804,187
Egypt,779,69,|,denmark,836,32
Egypt,865,86,|,denmark,875,39
Egypt,985,120,|,denmark,933,58
Egypt,1070,85,|,denmark,1025,92
Egypt,1173,103,|,denmark,1116,91
Egypt,1322,149,|,denmark,1225,109
Egypt,1450,128,|,denmark,1337,112
Egypt,1560,110,|,denmark,1420,83
Egypt,1699,139,|,denmark,1514,94
Egypt,1794,95,|,denmark,1572,58
Egypt,,,|,denmark,1718,146
Egypt,,,|,denmark,1862,144
Egypt,,,|,denmark,2023,161
Egypt,,,|,denmark,2200,177
Egypt,,,|,denmark,2366,166
Egypt,,,|,denmark,2564,198
Egypt,,,|,denmark,2755,191
Egypt,,,|,denmark,3039,284
Egypt,,,|,denmark,3290,251
Egypt,,,|,denmark,3573,283
Egypt,,,|,denmark,3946,373
Egypt,,,|,denmark,4269,323
Egypt,,,|,denmark,4561,292
Egypt,,,|,denmark,4875,314
Egypt,,,|,denmark,5266,391
Egypt,,,|,denmark,5597,331
Egypt,,,|,denmark,5830,233
Egypt,,,|,denmark,6014,184
Egypt,,,|,denmark,6191,177
