Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
Egypt,55,,|,mexico,1,-3843
Egypt,59,4,|,mexico,4,3
Egypt,60,1,|,mexico,5,1
Egypt,67,7,|,mexico,5,0
Egypt,80,13,|,mexico,5,0
Egypt,109,29,|,mexico,5,0
Egypt,110,1,|,mexico,5,0
Egypt,150,40,|,mexico,6,1
Egypt,196,46,|,mexico,6,0
Egypt,196,0,|,mexico,7,1
Egypt,256,60,|,mexico,7,0
Egypt,285,29,|,mexico,7,0
Egypt,294,9,|,mexico,8,1
Egypt,327,33,|,mexico,12,4
Egypt,366,39,|,mexico,12,0
Egypt,402,36,|,mexico,26,14
Egypt,456,54,|,mexico,41,15
Egypt,495,39,|,mexico,53,12
Egypt,536,41,|,mexico,82,29
Egypt,576,40,|,mexico,93,11
Egypt,609,33,|,mexico,118,25
Egypt,656,47,|,mexico,164,46
Egypt,710,54,|,mexico,203,39
Egypt,779,69,|,mexico,251,48
Egypt,865,86,|,mexico,316,65
Egypt,985,120,|,mexico,367,51
Egypt,1070,85,|,mexico,405,38
Egypt,1173,103,|,mexico,475,70
Egypt,1322,149,|,mexico,585,110
Egypt,1450,128,|,mexico,717,132
Egypt,1560,110,|,mexico,848,131
Egypt,1699,139,|,mexico,993,145
Egypt,1794,95,|,mexico,1094,101
Egypt,,,|,mexico,1215,121
Egypt,,,|,mexico,1378,163
Egypt,,,|,mexico,1510,132
Egypt,,,|,mexico,1688,178
Egypt,,,|,mexico,1890,202
Egypt,,,|,mexico,2143,253
Egypt,,,|,mexico,2439,296
Egypt,,,|,mexico,2785,346
Egypt,,,|,mexico,3181,396
Egypt,,,|,mexico,3441,260
Egypt,,,|,mexico,3844,403
