Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
Egypt,,,|,thailand,2,-2516
Egypt,,,|,thailand,3,1
Egypt,,,|,thailand,5,2
Egypt,,,|,thailand,7,2
Egypt,,,|,thailand,8,1
Egypt,,,|,thailand,8,0
Egypt,,,|,thailand,14,6
Egypt,,,|,thailand,14,0
Egypt,,,|,thailand,14,0
Egypt,,,|,thailand,19,5
Egypt,,,|,thailand,19,0
Egypt,,,|,thailand,19,0
Egypt,,,|,thailand,19,0
Egypt,,,|,thailand,25,6
Egypt,,,|,thailand,25,0
Egypt,1,,|,thailand,25,0
Egypt,1,0,|,thailand,25,0
Egypt,1,0,|,thailand,32,7
Egypt,1,0,|,thailand,32,0
Egypt,1,0,|,thailand,32,0
Egypt,1,0,|,thailand,33,1
Egypt,1,0,|,thailand,33,0
Egypt,1,0,|,thailand,33,0
Egypt,1,0,|,thailand,33,0
Egypt,1,0,|,thailand,33,0
Egypt,1,0,|,thailand,34,1
Egypt,1,0,|,thailand,35,1
Egypt,1,0,|,thailand,35,0
Egypt,1,0,|,thailand,35,0
Egypt,1,0,|,thailand,35,0
Egypt,1,0,|,thailand,35,0
Egypt,2,1,|,thailand,35,0
Egypt,2,0,|,thailand,35,0
Egypt,2,0,|,thailand,35,0
Egypt,2,0,|,thailand,37,2
Egypt,3,1,|,thailand,40,3
Egypt,15,12,|,thailand,40,0
Egypt,15,0,|,thailand,41,1
Egypt,49,34,|,thailand,42,1
Egypt,55,6,|,thailand,42,0
Egypt,59,4,|,thailand,43,1
Egypt,60,1,|,thailand,43,0
Egypt,67,7,|,thailand,43,0
Egypt,80,13,|,thailand,47,4
Egypt,109,29,|,thailand,48,1
Egypt,110,1,|,thailand,50,2
Egypt,150,40,|,thailand,50,0
Egypt,196,46,|,thailand,50,0
Egypt,196,0,|,thailand,53,3
Egypt,256,60,|,thailand,59,6
Egypt,285,29,|,thailand,70,11
Egypt,294,9,|,thailand,75,5
Egypt,327,33,|,thailand,82,7
Egypt,366,39,|,thailand,114,32
Egypt,402,36,|,thailand,147,33
Egypt,456,54,|,thailand,177,30
Egypt,495,39,|,thailand,212,35
Egypt,536,41,|,thailand,272,60
Egypt,576,40,|,thailand,322,50
Egypt,609,33,|,thailand,411,89
Egypt,656,47,|,thailand,599,188
Egypt,710,54,|,thailand,721,122
Egypt,779,69,|,thailand,827,106
Egypt,865,86,|,thailand,934,107
Egypt,985,120,|,thailand,1045,111
Egypt,1070,85,|,thailand,1136,91
Egypt,1173,103,|,thailand,1245,109
Egypt,1322,149,|,thailand,1388,143
Egypt,1450,128,|,thailand,1524,136
Egypt,1560,110,|,thailand,1651,127
Egypt,1699,139,|,thailand,1771,120
Egypt,1794,95,|,thailand,1875,104
Egypt,1939,145,|,thailand,1978,103
Egypt,,,|,thailand,2067,89
Egypt,,,|,thailand,2169,102
Egypt,,,|,thailand,2220,51
Egypt,,,|,thailand,2258,38
Egypt,,,|,thailand,2369,111
Egypt,,,|,thailand,2423,54
Egypt,,,|,thailand,2473,50
Egypt,,,|,thailand,2518,45
