Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
Equatorial Guinea,15,,|,botswana,3,-10
Equatorial Guinea,16,1,|,botswana,4,1
Equatorial Guinea,16,0,|,botswana,4,0
Equatorial Guinea,16,0,|,botswana,4,0
Equatorial Guinea,16,0,|,botswana,4,0
Equatorial Guinea,16,0,|,botswana,4,0
Equatorial Guinea,18,2,|,botswana,6,2
Equatorial Guinea,18,0,|,botswana,6,0
Equatorial Guinea,18,0,|,botswana,6,0
Equatorial Guinea,,,|,botswana,6,0
Equatorial Guinea,,,|,botswana,13,7
Equatorial Guinea,,,|,botswana,13,0
Equatorial Guinea,,,|,botswana,13,0
