Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
Equatorial Guinea,16,,|,canada,1,-23315
Equatorial Guinea,16,0,|,canada,1,0
Equatorial Guinea,16,0,|,canada,2,1
Equatorial Guinea,16,0,|,canada,2,0
Equatorial Guinea,16,0,|,canada,2,0
Equatorial Guinea,18,2,|,canada,4,2
Equatorial Guinea,18,0,|,canada,4,0
Equatorial Guinea,18,0,|,canada,4,0
Equatorial Guinea,,,|,canada,4,0
Equatorial Guinea,,,|,canada,4,0
Equatorial Guinea,,,|,canada,5,1
Equatorial Guinea,,,|,canada,5,0
Equatorial Guinea,,,|,canada,7,2
Equatorial Guinea,,,|,canada,7,0
Equatorial Guinea,,,|,canada,7,0
Equatorial Guinea,,,|,canada,7,0
Equatorial Guinea,,,|,canada,7,0
Equatorial Guinea,,,|,canada,7,0
Equatorial Guinea,,,|,canada,7,0
Equatorial Guinea,,,|,canada,7,0
Equatorial Guinea,,,|,canada,7,0
Equatorial Guinea,,,|,canada,7,0
Equatorial Guinea,,,|,canada,8,1
Equatorial Guinea,,,|,canada,8,0
Equatorial Guinea,,,|,canada,8,0
Equatorial Guinea,,,|,canada,8,0
Equatorial Guinea,,,|,canada,9,1
Equatorial Guinea,,,|,canada,9,0
Equatorial Guinea,,,|,canada,9,0
Equatorial Guinea,,,|,canada,10,1
Equatorial Guinea,,,|,canada,11,1
Equatorial Guinea,,,|,canada,11,0
Equatorial Guinea,,,|,canada,13,2
Equatorial Guinea,,,|,canada,14,1
Equatorial Guinea,,,|,canada,20,6
Equatorial Guinea,,,|,canada,24,4
Equatorial Guinea,,,|,canada,27,3
Equatorial Guinea,,,|,canada,30,3
Equatorial Guinea,,,|,canada,33,3
Equatorial Guinea,,,|,canada,37,4
Equatorial Guinea,,,|,canada,49,12
Equatorial Guinea,,,|,canada,54,5
Equatorial Guinea,,,|,canada,64,10
Equatorial Guinea,,,|,canada,77,13
Equatorial Guinea,,,|,canada,79,2
Equatorial Guinea,,,|,canada,108,29
Equatorial Guinea,,,|,canada,117,9
Equatorial Guinea,,,|,canada,193,76
Equatorial Guinea,,,|,canada,198,5
Equatorial Guinea,,,|,canada,252,54
Equatorial Guinea,,,|,canada,415,163
Equatorial Guinea,,,|,canada,478,63
Equatorial Guinea,,,|,canada,657,179
Equatorial Guinea,,,|,canada,800,143
Equatorial Guinea,,,|,canada,943,143
Equatorial Guinea,,,|,canada,1277,334
Equatorial Guinea,,,|,canada,1469,192
Equatorial Guinea,,,|,canada,2088,619
Equatorial Guinea,,,|,canada,2790,702
Equatorial Guinea,,,|,canada,3251,461
Equatorial Guinea,,,|,canada,4042,791
Equatorial Guinea,,,|,canada,4682,640
Equatorial Guinea,,,|,canada,5576,894
Equatorial Guinea,,,|,canada,6280,704
Equatorial Guinea,,,|,canada,7398,1118
Equatorial Guinea,,,|,canada,8527,1129
Equatorial Guinea,,,|,canada,9560,1033
Equatorial Guinea,,,|,canada,11284,1724
Equatorial Guinea,,,|,canada,12437,1153
Equatorial Guinea,,,|,canada,12978,541
Equatorial Guinea,,,|,canada,15756,2778
Equatorial Guinea,,,|,canada,16563,807
Equatorial Guinea,,,|,canada,17872,1309
Equatorial Guinea,,,|,canada,19141,1269
Equatorial Guinea,,,|,canada,20654,1513
Equatorial Guinea,,,|,canada,22059,1405
Equatorial Guinea,,,|,canada,23316,1257
