Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
Equatorial Guinea,15,,|,grenada,1,-13
Equatorial Guinea,15,0,|,grenada,1,0
Equatorial Guinea,16,1,|,grenada,1,0
Equatorial Guinea,16,0,|,grenada,1,0
Equatorial Guinea,16,0,|,grenada,7,6
Equatorial Guinea,16,0,|,grenada,7,0
Equatorial Guinea,16,0,|,grenada,7,0
Equatorial Guinea,18,2,|,grenada,9,2
Equatorial Guinea,18,0,|,grenada,9,0
Equatorial Guinea,18,0,|,grenada,9,0
Equatorial Guinea,,,|,grenada,9,0
Equatorial Guinea,,,|,grenada,10,1
Equatorial Guinea,,,|,grenada,12,2
Equatorial Guinea,,,|,grenada,12,0
Equatorial Guinea,,,|,grenada,12,0
Equatorial Guinea,,,|,grenada,12,0
Equatorial Guinea,,,|,grenada,12,0
Equatorial Guinea,,,|,grenada,12,0
Equatorial Guinea,,,|,grenada,12,0
Equatorial Guinea,,,|,grenada,14,2
Equatorial Guinea,,,|,grenada,14,0
