Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
Equatorial Guinea,1,,|,holy-see-vatican-city-state,1,-7
Equatorial Guinea,4,3,|,holy-see-vatican-city-state,1,0
Equatorial Guinea,6,2,|,holy-see-vatican-city-state,1,0
Equatorial Guinea,6,0,|,holy-see-vatican-city-state,1,0
Equatorial Guinea,6,0,|,holy-see-vatican-city-state,1,0
Equatorial Guinea,6,0,|,holy-see-vatican-city-state,1,0
Equatorial Guinea,9,3,|,holy-see-vatican-city-state,1,0
Equatorial Guinea,9,0,|,holy-see-vatican-city-state,1,0
Equatorial Guinea,9,0,|,holy-see-vatican-city-state,1,0
Equatorial Guinea,12,3,|,holy-see-vatican-city-state,1,0
Equatorial Guinea,12,0,|,holy-see-vatican-city-state,1,0
Equatorial Guinea,12,0,|,holy-see-vatican-city-state,1,0
Equatorial Guinea,12,0,|,holy-see-vatican-city-state,1,0
Equatorial Guinea,12,0,|,holy-see-vatican-city-state,1,0
Equatorial Guinea,12,0,|,holy-see-vatican-city-state,1,0
Equatorial Guinea,15,3,|,holy-see-vatican-city-state,1,0
Equatorial Guinea,15,0,|,holy-see-vatican-city-state,1,0
Equatorial Guinea,16,1,|,holy-see-vatican-city-state,1,0
Equatorial Guinea,16,0,|,holy-see-vatican-city-state,4,3
Equatorial Guinea,16,0,|,holy-see-vatican-city-state,4,0
Equatorial Guinea,16,0,|,holy-see-vatican-city-state,4,0
Equatorial Guinea,16,0,|,holy-see-vatican-city-state,4,0
Equatorial Guinea,18,2,|,holy-see-vatican-city-state,6,2
Equatorial Guinea,18,0,|,holy-see-vatican-city-state,6,0
Equatorial Guinea,18,0,|,holy-see-vatican-city-state,6,0
Equatorial Guinea,,,|,holy-see-vatican-city-state,6,0
Equatorial Guinea,,,|,holy-see-vatican-city-state,6,0
Equatorial Guinea,,,|,holy-see-vatican-city-state,7,1
Equatorial Guinea,,,|,holy-see-vatican-city-state,7,0
Equatorial Guinea,,,|,holy-see-vatican-city-state,7,0
Equatorial Guinea,,,|,holy-see-vatican-city-state,7,0
Equatorial Guinea,,,|,holy-see-vatican-city-state,7,0
Equatorial Guinea,,,|,holy-see-vatican-city-state,7,0
Equatorial Guinea,,,|,holy-see-vatican-city-state,8,1
Equatorial Guinea,,,|,holy-see-vatican-city-state,8,0
Equatorial Guinea,,,|,holy-see-vatican-city-state,8,0
Equatorial Guinea,,,|,holy-see-vatican-city-state,8,0
