Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
Equatorial Guinea,12,,|,macedonia,1,-759
Equatorial Guinea,12,0,|,macedonia,1,0
Equatorial Guinea,15,3,|,macedonia,1,0
Equatorial Guinea,15,0,|,macedonia,1,0
Equatorial Guinea,16,1,|,macedonia,1,0
Equatorial Guinea,16,0,|,macedonia,1,0
Equatorial Guinea,16,0,|,macedonia,1,0
Equatorial Guinea,16,0,|,macedonia,1,0
Equatorial Guinea,16,0,|,macedonia,1,0
Equatorial Guinea,18,2,|,macedonia,3,2
Equatorial Guinea,18,0,|,macedonia,3,0
Equatorial Guinea,18,0,|,macedonia,3,0
Equatorial Guinea,,,|,macedonia,3,0
Equatorial Guinea,,,|,macedonia,7,4
Equatorial Guinea,,,|,macedonia,7,0
Equatorial Guinea,,,|,macedonia,7,0
Equatorial Guinea,,,|,macedonia,14,7
Equatorial Guinea,,,|,macedonia,14,0
Equatorial Guinea,,,|,macedonia,14,0
Equatorial Guinea,,,|,macedonia,18,4
Equatorial Guinea,,,|,macedonia,26,8
Equatorial Guinea,,,|,macedonia,35,9
Equatorial Guinea,,,|,macedonia,48,13
Equatorial Guinea,,,|,macedonia,67,19
Equatorial Guinea,,,|,macedonia,85,18
Equatorial Guinea,,,|,macedonia,115,30
Equatorial Guinea,,,|,macedonia,136,21
Equatorial Guinea,,,|,macedonia,148,12
Equatorial Guinea,,,|,macedonia,177,29
Equatorial Guinea,,,|,macedonia,201,24
Equatorial Guinea,,,|,macedonia,219,18
Equatorial Guinea,,,|,macedonia,241,22
Equatorial Guinea,,,|,macedonia,259,18
Equatorial Guinea,,,|,macedonia,285,26
Equatorial Guinea,,,|,macedonia,329,44
Equatorial Guinea,,,|,macedonia,354,25
Equatorial Guinea,,,|,macedonia,384,30
Equatorial Guinea,,,|,macedonia,430,46
Equatorial Guinea,,,|,macedonia,483,53
Equatorial Guinea,,,|,macedonia,555,72
Equatorial Guinea,,,|,macedonia,570,15
Equatorial Guinea,,,|,macedonia,599,29
Equatorial Guinea,,,|,macedonia,617,18
Equatorial Guinea,,,|,macedonia,663,46
Equatorial Guinea,,,|,macedonia,711,48
Equatorial Guinea,,,|,macedonia,760,49
