Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
Equatorial Guinea,12,,|,mozambique,1,-19
Equatorial Guinea,12,0,|,mozambique,1,0
Equatorial Guinea,12,0,|,mozambique,3,2
Equatorial Guinea,15,3,|,mozambique,5,2
Equatorial Guinea,15,0,|,mozambique,7,2
Equatorial Guinea,16,1,|,mozambique,7,0
Equatorial Guinea,16,0,|,mozambique,8,1
Equatorial Guinea,16,0,|,mozambique,8,0
Equatorial Guinea,16,0,|,mozambique,8,0
Equatorial Guinea,16,0,|,mozambique,8,0
Equatorial Guinea,18,2,|,mozambique,10,2
Equatorial Guinea,18,0,|,mozambique,10,0
Equatorial Guinea,18,0,|,mozambique,10,0
Equatorial Guinea,,,|,mozambique,10,0
Equatorial Guinea,,,|,mozambique,10,0
Equatorial Guinea,,,|,mozambique,10,0
Equatorial Guinea,,,|,mozambique,10,0
Equatorial Guinea,,,|,mozambique,17,7
Equatorial Guinea,,,|,mozambique,17,0
Equatorial Guinea,,,|,mozambique,20,3
Equatorial Guinea,,,|,mozambique,20,0
