Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
Equatorial Guinea,1,,|,namibia,2,-14
Equatorial Guinea,4,3,|,namibia,2,0
Equatorial Guinea,6,2,|,namibia,2,0
Equatorial Guinea,6,0,|,namibia,2,0
Equatorial Guinea,6,0,|,namibia,2,0
Equatorial Guinea,6,0,|,namibia,3,1
Equatorial Guinea,9,3,|,namibia,3,0
Equatorial Guinea,9,0,|,namibia,3,0
Equatorial Guinea,9,0,|,namibia,3,0
Equatorial Guinea,12,3,|,namibia,4,1
Equatorial Guinea,12,0,|,namibia,7,3
Equatorial Guinea,12,0,|,namibia,7,0
Equatorial Guinea,12,0,|,namibia,8,1
Equatorial Guinea,12,0,|,namibia,8,0
Equatorial Guinea,12,0,|,namibia,8,0
Equatorial Guinea,15,3,|,namibia,11,3
Equatorial Guinea,15,0,|,namibia,11,0
Equatorial Guinea,16,1,|,namibia,11,0
Equatorial Guinea,16,0,|,namibia,14,3
Equatorial Guinea,16,0,|,namibia,14,0
Equatorial Guinea,16,0,|,namibia,14,0
Equatorial Guinea,16,0,|,namibia,14,0
Equatorial Guinea,18,2,|,namibia,16,2
Equatorial Guinea,18,0,|,namibia,16,0
Equatorial Guinea,18,0,|,namibia,16,0
Equatorial Guinea,,,|,namibia,16,0
Equatorial Guinea,,,|,namibia,16,0
Equatorial Guinea,,,|,namibia,16,0
Equatorial Guinea,,,|,namibia,16,0
