Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
Germany,1,,|,canada,1,-23315
Germany,4,3,|,canada,1,0
Germany,4,0,|,canada,2,1
Germany,4,0,|,canada,2,0
Germany,5,1,|,canada,2,0
Germany,8,3,|,canada,4,2
Germany,10,2,|,canada,4,0
Germany,12,2,|,canada,4,0
Germany,12,0,|,canada,4,0
Germany,12,0,|,canada,4,0
Germany,12,0,|,canada,5,1
Germany,13,1,|,canada,5,0
Germany,13,0,|,canada,7,2
Germany,14,1,|,canada,7,0
Germany,14,0,|,canada,7,0
Germany,16,2,|,canada,7,0
Germany,16,0,|,canada,7,0
Germany,16,0,|,canada,7,0
Germany,16,0,|,canada,7,0
Germany,16,0,|,canada,7,0
Germany,16,0,|,canada,7,0
Germany,16,0,|,canada,7,0
Germany,16,0,|,canada,8,1
Germany,16,0,|,canada,8,0
Germany,16,0,|,canada,8,0
Germany,16,0,|,canada,8,0
Germany,16,0,|,canada,9,1
Germany,16,0,|,canada,9,0
Germany,16,0,|,canada,9,0
Germany,17,1,|,canada,10,1
Germany,27,10,|,canada,11,1
Germany,46,19,|,canada,11,0
Germany,48,2,|,canada,13,2
Germany,79,31,|,canada,14,1
Germany,130,51,|,canada,20,6
Germany,159,29,|,canada,24,4
Germany,196,37,|,canada,27,3
Germany,262,66,|,canada,30,3
Germany,482,220,|,canada,33,3
Germany,670,188,|,canada,37,4
Germany,799,129,|,canada,49,12
Germany,1040,241,|,canada,54,5
Germany,1176,136,|,canada,64,10
Germany,1457,281,|,canada,77,13
Germany,1908,451,|,canada,79,2
Germany,2078,170,|,canada,108,29
Germany,3675,1597,|,canada,117,9
Germany,4585,910,|,canada,193,76
Germany,5795,1210,|,canada,198,5
Germany,7272,1477,|,canada,252,54
Germany,9257,1985,|,canada,415,163
Germany,12327,3070,|,canada,478,63
Germany,15320,2993,|,canada,657,179
Germany,19848,4528,|,canada,800,143
Germany,22213,2365,|,canada,943,143
Germany,24873,2660,|,canada,1277,334
Germany,29056,4183,|,canada,1469,192
Germany,32986,3930,|,canada,2088,619
Germany,37323,4337,|,canada,2790,702
Germany,43938,6615,|,canada,3251,461
Germany,50871,6933,|,canada,4042,791
Germany,57695,6824,|,canada,4682,640
Germany,62095,4400,|,canada,5576,894
Germany,66885,4790,|,canada,6280,704
Germany,71808,4923,|,canada,7398,1118
Germany,77872,6064,|,canada,8527,1129
Germany,84794,6922,|,canada,9560,1033
Germany,91159,6365,|,canada,11284,1724
Germany,96092,4933,|,canada,12437,1153
Germany,100123,4031,|,canada,12978,541
Germany,103374,3251,|,canada,15756,2778
Germany,107663,4289,|,canada,16563,807
Germany,113296,5633,|,canada,17872,1309
Germany,118181,4885,|,canada,19141,1269
Germany,122171,3990,|,canada,20654,1513
Germany,124908,2737,|,canada,22059,1405
Germany,,,|,canada,23316,1257
