Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
Germany,12,,|,france,2,-130725
Germany,13,1,|,france,3,1
Germany,13,0,|,france,3,0
Germany,14,1,|,france,3,0
Germany,14,0,|,france,4,1
Germany,16,2,|,france,5,1
Germany,16,0,|,france,5,0
Germany,16,0,|,france,5,0
Germany,16,0,|,france,6,1
Germany,16,0,|,france,6,0
Germany,16,0,|,france,6,0
Germany,16,0,|,france,6,0
Germany,16,0,|,france,6,0
Germany,16,0,|,france,6,0
Germany,16,0,|,france,6,0
Germany,16,0,|,france,11,5
Germany,16,0,|,france,11,0
Germany,16,0,|,france,11,0
Germany,16,0,|,france,11,0
Germany,17,1,|,france,11,0
Germany,27,10,|,france,11,0
Germany,46,19,|,france,11,0
Germany,48,2,|,france,12,1
Germany,79,31,|,france,12,0
Germany,130,51,|,france,12,0
Germany,159,29,|,france,12,0
Germany,196,37,|,france,12,0
Germany,262,66,|,france,12,0
Germany,482,220,|,france,12,0
Germany,670,188,|,france,12,0
Germany,799,129,|,france,12,0
Germany,1040,241,|,france,12,0
Germany,1176,136,|,france,14,2
Germany,1457,281,|,france,18,4
Germany,1908,451,|,france,38,20
Germany,2078,170,|,france,57,19
Germany,3675,1597,|,france,100,43
Germany,4585,910,|,france,130,30
Germany,5795,1210,|,france,191,61
Germany,7272,1477,|,france,204,13
Germany,9257,1985,|,france,288,84
Germany,12327,3070,|,france,380,92
Germany,15320,2993,|,france,656,276
Germany,19848,4528,|,france,959,303
Germany,22213,2365,|,france,1136,177
Germany,24873,2660,|,france,1219,83
Germany,29056,4183,|,france,1794,575
Germany,32986,3930,|,france,2293,499
Germany,37323,4337,|,france,2293,0
Germany,43938,6615,|,france,3681,1388
Germany,50871,6933,|,france,4496,815
Germany,57695,6824,|,france,4532,36
Germany,62095,4400,|,france,6683,2151
Germany,66885,4790,|,france,7715,1032
Germany,71808,4923,|,france,9124,1409
Germany,77872,6064,|,france,10970,1846
Germany,84794,6922,|,france,12758,1788
Germany,91159,6365,|,france,14463,1705
Germany,96092,4933,|,france,16243,1780
Germany,100123,4031,|,france,20123,3880
Germany,103374,3251,|,france,22622,2499
Germany,107663,4289,|,france,25600,2978
Germany,113296,5633,|,france,29551,3951
Germany,118181,4885,|,france,33402,3851
Germany,122171,3990,|,france,38105,4703
Germany,,,|,france,40708,2603
Germany,,,|,france,45170,4462
Germany,,,|,france,52827,7657
Germany,,,|,france,57749,4922
Germany,,,|,france,59929,2180
Germany,,,|,france,65202,5273
Germany,,,|,france,90848,25646
Germany,,,|,france,93773,2925
Germany,,,|,france,98963,5190
Germany,,,|,france,110065,11102
Germany,,,|,france,113959,3894
Germany,,,|,france,118781,4822
Germany,,,|,france,125931,7150
Germany,,,|,france,130727,4796
