Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
Germany,48,,|,iran,2,-70027
Germany,79,31,|,iran,5,3
Germany,130,51,|,iran,18,13
Germany,159,29,|,iran,28,10
Germany,196,37,|,iran,43,15
Germany,262,66,|,iran,61,18
Germany,482,220,|,iran,95,34
Germany,670,188,|,iran,139,44
Germany,799,129,|,iran,245,106
Germany,1040,241,|,iran,388,143
Germany,1176,136,|,iran,593,205
Germany,1457,281,|,iran,978,385
Germany,1908,451,|,iran,1501,523
Germany,2078,170,|,iran,2336,835
Germany,3675,1597,|,iran,2922,586
Germany,4585,910,|,iran,3513,591
Germany,5795,1210,|,iran,4747,1234
Germany,7272,1477,|,iran,5823,1076
Germany,9257,1985,|,iran,6566,743
Germany,12327,3070,|,iran,7161,595
Germany,15320,2993,|,iran,8042,881
Germany,19848,4528,|,iran,9000,958
Germany,22213,2365,|,iran,10075,1075
Germany,24873,2660,|,iran,11364,1289
Germany,29056,4183,|,iran,12729,1365
Germany,32986,3930,|,iran,13938,1209
Germany,37323,4337,|,iran,14991,1053
Germany,43938,6615,|,iran,16169,1178
Germany,50871,6933,|,iran,17361,1192
Germany,57695,6824,|,iran,18407,1046
Germany,62095,4400,|,iran,19644,1237
Germany,66885,4790,|,iran,20610,966
Germany,71808,4923,|,iran,21638,1028
Germany,77872,6064,|,iran,23049,1411
Germany,84794,6922,|,iran,24811,1762
Germany,91159,6365,|,iran,27017,2206
Germany,96092,4933,|,iran,29406,2389
Germany,100123,4031,|,iran,32332,2926
Germany,103374,3251,|,iran,35408,3076
Germany,107663,4289,|,iran,38309,2901
Germany,113296,5633,|,iran,41495,3186
Germany,118181,4885,|,iran,44605,3110
Germany,122171,3990,|,iran,47593,2988
Germany,,,|,iran,50468,2875
Germany,,,|,iran,53183,2715
Germany,,,|,iran,55743,2560
Germany,,,|,iran,58226,2483
Germany,,,|,iran,60500,2274
Germany,,,|,iran,62589,2089
Germany,,,|,iran,64586,1997
Germany,,,|,iran,66220,1634
Germany,,,|,iran,68192,1972
Germany,,,|,iran,70029,1837
