Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
Germany,16,,|,united-states,1,-526390
Germany,16,0,|,united-states,2,1
Germany,16,0,|,united-states,2,0
Germany,16,0,|,united-states,5,3
Germany,16,0,|,united-states,5,0
Germany,16,0,|,united-states,5,0
Germany,16,0,|,united-states,5,0
Germany,16,0,|,united-states,5,0
Germany,16,0,|,united-states,7,2
Germany,16,0,|,united-states,8,1
Germany,16,0,|,united-states,8,0
Germany,16,0,|,united-states,11,3
Germany,16,0,|,united-states,11,0
Germany,17,1,|,united-states,11,0
Germany,27,10,|,united-states,11,0
Germany,46,19,|,united-states,11,0
Germany,48,2,|,united-states,11,0
Germany,79,31,|,united-states,11,0
Germany,130,51,|,united-states,11,0
Germany,159,29,|,united-states,12,1
Germany,196,37,|,united-states,12,0
Germany,262,66,|,united-states,13,1
Germany,482,220,|,united-states,13,0
Germany,670,188,|,united-states,13,0
Germany,799,129,|,united-states,13,0
Germany,1040,241,|,united-states,13,0
Germany,1176,136,|,united-states,13,0
Germany,1457,281,|,united-states,13,0
Germany,1908,451,|,united-states,13,0
Germany,2078,170,|,united-states,15,2
Germany,3675,1597,|,united-states,15,0
Germany,4585,910,|,united-states,15,0
Germany,5795,1210,|,united-states,15,0
Germany,7272,1477,|,united-states,15,0
Germany,9257,1985,|,united-states,15,0
Germany,12327,3070,|,united-states,16,1
Germany,15320,2993,|,united-states,16,0
Germany,19848,4528,|,united-states,24,8
Germany,22213,2365,|,united-states,30,6
Germany,24873,2660,|,united-states,53,23
Germany,29056,4183,|,united-states,73,20
Germany,32986,3930,|,united-states,104,31
Germany,37323,4337,|,united-states,172,68
Germany,43938,6615,|,united-states,217,45
Germany,50871,6933,|,united-states,336,119
Germany,57695,6824,|,united-states,450,114
Germany,62095,4400,|,united-states,514,64
Germany,66885,4790,|,united-states,708,194
Germany,71808,4923,|,united-states,1105,397
Germany,77872,6064,|,united-states,1557,452
Germany,84794,6922,|,united-states,2147,590
Germany,91159,6365,|,united-states,2857,710
Germany,96092,4933,|,united-states,2918,61
Germany,100123,4031,|,united-states,4307,1389
Germany,103374,3251,|,united-states,6096,1789
Germany,107663,4289,|,united-states,8873,2777
Germany,113296,5633,|,united-states,14024,5151
Germany,118181,4885,|,united-states,19230,5206
Germany,122171,3990,|,united-states,25627,6397
Germany,,,|,united-states,33621,7994
Germany,,,|,united-states,43663,10042
Germany,,,|,united-states,53736,10073
Germany,,,|,united-states,65778,12042
Germany,,,|,united-states,83836,18058
Germany,,,|,united-states,101657,17821
Germany,,,|,united-states,121478,19821
Germany,,,|,united-states,140886,19408
Germany,,,|,united-states,161807,20921
Germany,,,|,united-states,188172,26365
Germany,,,|,united-states,213362,25190
Germany,,,|,united-states,243453,30091
Germany,,,|,united-states,275582,32129
Germany,,,|,united-states,337065,61483
Germany,,,|,united-states,366607,29542
Germany,,,|,united-states,396221,29614
Germany,,,|,united-states,429047,32826
Germany,,,|,united-states,461432,32385
Germany,,,|,united-states,496530,35098
Germany,,,|,united-states,526391,29861
