Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
Greece,,,|,australia,4,-6299
Greece,,,|,australia,5,1
Greece,,,|,australia,5,0
Greece,,,|,australia,6,1
Greece,,,|,australia,9,3
Greece,,,|,australia,9,0
Greece,1,,|,australia,12,3
Greece,3,2,|,australia,12,0
Greece,4,1,|,australia,12,0
Greece,4,0,|,australia,13,1
Greece,7,3,|,australia,13,0
Greece,7,0,|,australia,14,1
Greece,7,0,|,australia,15,1
Greece,9,2,|,australia,15,0
Greece,31,22,|,australia,15,0
Greece,45,14,|,australia,15,0
Greece,46,1,|,australia,15,0
Greece,73,27,|,australia,15,0
Greece,73,0,|,australia,15,0
Greece,89,16,|,australia,15,0
Greece,99,10,|,australia,15,0
Greece,99,0,|,australia,15,0
Greece,190,91,|,australia,15,0
Greece,228,38,|,australia,15,0
Greece,331,103,|,australia,15,0
Greece,331,0,|,australia,15,0
Greece,387,56,|,australia,15,0
Greece,418,31,|,australia,15,0
Greece,418,0,|,australia,15,0
Greece,495,77,|,australia,15,0
Greece,530,35,|,australia,15,0
Greece,624,94,|,australia,15,0
Greece,695,71,|,australia,15,0
Greece,743,48,|,australia,15,0
Greece,821,78,|,australia,25,10
Greece,892,71,|,australia,27,2
Greece,966,74,|,australia,30,3
Greece,1061,95,|,australia,39,9
Greece,1156,95,|,australia,52,13
Greece,1212,56,|,australia,55,3
Greece,1314,102,|,australia,60,5
Greece,1415,101,|,australia,63,3
Greece,1544,129,|,australia,76,13
Greece,1613,69,|,australia,91,15
Greece,1673,60,|,australia,107,16
Greece,1735,62,|,australia,128,21
Greece,1755,20,|,australia,128,0
Greece,1832,77,|,australia,200,72
Greece,1884,52,|,australia,250,50
Greece,1955,71,|,australia,297,47
Greece,2011,56,|,australia,377,80
Greece,2081,70,|,australia,452,75
Greece,,,|,australia,568,116
Greece,,,|,australia,681,113
Greece,,,|,australia,791,110
Greece,,,|,australia,1071,280
Greece,,,|,australia,1549,478
Greece,,,|,australia,1682,133
Greece,,,|,australia,2044,362
Greece,,,|,australia,2364,320
Greece,,,|,australia,2810,446
Greece,,,|,australia,3143,333
Greece,,,|,australia,3640,497
Greece,,,|,australia,3984,344
Greece,,,|,australia,4361,377
Greece,,,|,australia,4559,198
Greece,,,|,australia,4862,303
Greece,,,|,australia,5116,254
Greece,,,|,australia,5330,214
Greece,,,|,australia,5550,220
Greece,,,|,australia,5687,137
Greece,,,|,australia,5797,110
Greece,,,|,australia,5895,98
Greece,,,|,australia,6010,115
Greece,,,|,australia,6108,98
Greece,,,|,australia,6215,107
Greece,,,|,australia,6303,88
