Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
Greece,418,,|,kazakhstan,4,-861
Greece,418,0,|,kazakhstan,6,2
Greece,495,77,|,kazakhstan,9,3
Greece,530,35,|,kazakhstan,10,1
Greece,624,94,|,kazakhstan,33,23
Greece,695,71,|,kazakhstan,35,2
Greece,743,48,|,kazakhstan,44,9
Greece,821,78,|,kazakhstan,49,5
Greece,892,71,|,kazakhstan,53,4
Greece,966,74,|,kazakhstan,60,7
Greece,1061,95,|,kazakhstan,62,2
Greece,1156,95,|,kazakhstan,72,10
Greece,1212,56,|,kazakhstan,81,9
Greece,1314,102,|,kazakhstan,111,30
Greece,1415,101,|,kazakhstan,150,39
Greece,1544,129,|,kazakhstan,228,78
Greece,1613,69,|,kazakhstan,284,56
Greece,1673,60,|,kazakhstan,302,18
Greece,1735,62,|,kazakhstan,343,41
Greece,1755,20,|,kazakhstan,380,37
Greece,1832,77,|,kazakhstan,435,55
Greece,1884,52,|,kazakhstan,464,29
Greece,1955,71,|,kazakhstan,531,67
Greece,2011,56,|,kazakhstan,584,53
Greece,,,|,kazakhstan,662,78
Greece,,,|,kazakhstan,697,35
Greece,,,|,kazakhstan,727,30
Greece,,,|,kazakhstan,781,54
Greece,,,|,kazakhstan,812,31
Greece,,,|,kazakhstan,865,53
