Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
Greece,45,,|,lithuania,1,-1025
Greece,46,1,|,lithuania,1,0
Greece,73,27,|,lithuania,1,0
Greece,73,0,|,lithuania,1,0
Greece,89,16,|,lithuania,1,0
Greece,99,10,|,lithuania,1,0
Greece,99,0,|,lithuania,1,0
Greece,190,91,|,lithuania,1,0
Greece,228,38,|,lithuania,1,0
Greece,331,103,|,lithuania,1,0
Greece,331,0,|,lithuania,1,0
Greece,387,56,|,lithuania,1,0
Greece,418,31,|,lithuania,3,2
Greece,418,0,|,lithuania,3,0
Greece,495,77,|,lithuania,6,3
Greece,530,35,|,lithuania,8,2
Greece,624,94,|,lithuania,12,4
Greece,695,71,|,lithuania,17,5
Greece,743,48,|,lithuania,25,8
Greece,821,78,|,lithuania,27,2
Greece,892,71,|,lithuania,36,9
Greece,966,74,|,lithuania,49,13
Greece,1061,95,|,lithuania,83,34
Greece,1156,95,|,lithuania,143,60
Greece,1212,56,|,lithuania,179,36
Greece,1314,102,|,lithuania,209,30
Greece,1415,101,|,lithuania,274,65
Greece,1544,129,|,lithuania,299,25
Greece,1613,69,|,lithuania,358,59
Greece,1673,60,|,lithuania,394,36
Greece,1735,62,|,lithuania,460,66
Greece,1755,20,|,lithuania,491,31
Greece,1832,77,|,lithuania,537,46
Greece,1884,52,|,lithuania,581,44
Greece,1955,71,|,lithuania,649,68
Greece,2011,56,|,lithuania,696,47
Greece,,,|,lithuania,771,75
Greece,,,|,lithuania,811,40
Greece,,,|,lithuania,843,32
Greece,,,|,lithuania,880,37
Greece,,,|,lithuania,912,32
Greece,,,|,lithuania,955,43
Greece,,,|,lithuania,999,44
Greece,,,|,lithuania,1026,27
