Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
Greece,331,,|,morocco,1,-1544
Greece,331,0,|,morocco,1,0
Greece,387,56,|,morocco,1,0
Greece,418,31,|,morocco,2,1
Greece,418,0,|,morocco,2,0
Greece,495,77,|,morocco,2,0
Greece,530,35,|,morocco,2,0
Greece,624,94,|,morocco,2,0
Greece,695,71,|,morocco,3,1
Greece,743,48,|,morocco,5,2
Greece,821,78,|,morocco,6,1
Greece,892,71,|,morocco,7,1
Greece,966,74,|,morocco,17,10
Greece,1061,95,|,morocco,28,11
Greece,1156,95,|,morocco,29,1
Greece,1212,56,|,morocco,38,9
Greece,1314,102,|,morocco,49,11
Greece,1415,101,|,morocco,63,14
Greece,1544,129,|,morocco,77,14
Greece,1613,69,|,morocco,96,19
Greece,1673,60,|,morocco,115,19
Greece,1735,62,|,morocco,143,28
Greece,1755,20,|,morocco,170,27
Greece,1832,77,|,morocco,225,55
Greece,1884,52,|,morocco,275,50
Greece,1955,71,|,morocco,345,70
Greece,2011,56,|,morocco,402,57
Greece,,,|,morocco,479,77
Greece,,,|,morocco,556,77
Greece,,,|,morocco,617,61
Greece,,,|,morocco,654,37
Greece,,,|,morocco,708,54
Greece,,,|,morocco,791,83
Greece,,,|,morocco,919,128
Greece,,,|,morocco,1021,102
Greece,,,|,morocco,1120,99
Greece,,,|,morocco,1184,64
Greece,,,|,morocco,1275,91
Greece,,,|,morocco,1374,99
Greece,,,|,morocco,1448,74
Greece,,,|,morocco,1545,97
