Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
Grenada,9,,|,antigua-and-barbuda,1,-20
Grenada,9,0,|,antigua-and-barbuda,1,0
Grenada,10,1,|,antigua-and-barbuda,1,0
Grenada,12,2,|,antigua-and-barbuda,1,0
Grenada,12,0,|,antigua-and-barbuda,1,0
Grenada,12,0,|,antigua-and-barbuda,1,0
Grenada,12,0,|,antigua-and-barbuda,1,0
Grenada,12,0,|,antigua-and-barbuda,1,0
Grenada,12,0,|,antigua-and-barbuda,1,0
Grenada,12,0,|,antigua-and-barbuda,1,0
Grenada,14,2,|,antigua-and-barbuda,3,2
Grenada,,,|,antigua-and-barbuda,3,0
Grenada,,,|,antigua-and-barbuda,3,0
Grenada,,,|,antigua-and-barbuda,7,4
Grenada,,,|,antigua-and-barbuda,7,0
Grenada,,,|,antigua-and-barbuda,7,0
Grenada,,,|,antigua-and-barbuda,7,0
Grenada,,,|,antigua-and-barbuda,7,0
Grenada,,,|,antigua-and-barbuda,7,0
Grenada,,,|,antigua-and-barbuda,7,0
Grenada,,,|,antigua-and-barbuda,9,2
Grenada,,,|,antigua-and-barbuda,15,6
Grenada,,,|,antigua-and-barbuda,15,0
Grenada,,,|,antigua-and-barbuda,15,0
Grenada,,,|,antigua-and-barbuda,15,0
Grenada,,,|,antigua-and-barbuda,19,4
Grenada,,,|,antigua-and-barbuda,19,0
Grenada,,,|,antigua-and-barbuda,19,0
Grenada,,,|,antigua-and-barbuda,19,0
Grenada,,,|,antigua-and-barbuda,21,2
