Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
Grenada,12,,|,djibouti,1,-186
Grenada,12,0,|,djibouti,1,0
Grenada,12,0,|,djibouti,1,0
Grenada,12,0,|,djibouti,1,0
Grenada,12,0,|,djibouti,1,0
Grenada,14,2,|,djibouti,3,2
Grenada,,,|,djibouti,3,0
Grenada,,,|,djibouti,11,8
Grenada,,,|,djibouti,11,0
Grenada,,,|,djibouti,12,1
Grenada,,,|,djibouti,14,2
Grenada,,,|,djibouti,18,4
Grenada,,,|,djibouti,18,0
Grenada,,,|,djibouti,30,12
Grenada,,,|,djibouti,33,3
Grenada,,,|,djibouti,40,7
Grenada,,,|,djibouti,49,9
Grenada,,,|,djibouti,50,1
Grenada,,,|,djibouti,59,9
Grenada,,,|,djibouti,90,31
Grenada,,,|,djibouti,90,0
Grenada,,,|,djibouti,135,45
Grenada,,,|,djibouti,135,0
Grenada,,,|,djibouti,150,15
Grenada,,,|,djibouti,187,37
