Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
Grenada,,,|,equatorial-guinea,1,-17
Grenada,,,|,equatorial-guinea,1,0
Grenada,,,|,equatorial-guinea,1,0
Grenada,,,|,equatorial-guinea,4,3
Grenada,,,|,equatorial-guinea,6,2
Grenada,1,,|,equatorial-guinea,6,0
Grenada,1,0,|,equatorial-guinea,6,0
Grenada,1,0,|,equatorial-guinea,6,0
Grenada,1,0,|,equatorial-guinea,9,3
Grenada,7,6,|,equatorial-guinea,9,0
Grenada,7,0,|,equatorial-guinea,9,0
Grenada,7,0,|,equatorial-guinea,12,3
Grenada,9,2,|,equatorial-guinea,12,0
Grenada,9,0,|,equatorial-guinea,12,0
Grenada,9,0,|,equatorial-guinea,12,0
Grenada,9,0,|,equatorial-guinea,12,0
Grenada,10,1,|,equatorial-guinea,12,0
Grenada,12,2,|,equatorial-guinea,15,3
Grenada,12,0,|,equatorial-guinea,15,0
Grenada,12,0,|,equatorial-guinea,16,1
Grenada,12,0,|,equatorial-guinea,16,0
Grenada,12,0,|,equatorial-guinea,16,0
Grenada,12,0,|,equatorial-guinea,16,0
Grenada,12,0,|,equatorial-guinea,16,0
Grenada,14,2,|,equatorial-guinea,18,2
Grenada,14,0,|,equatorial-guinea,18,0
Grenada,,,|,equatorial-guinea,18,0
Grenada,,,|,equatorial-guinea,18,0
