Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
Grenada,9,,|,nicaragua,1,-7
Grenada,10,1,|,nicaragua,1,0
Grenada,12,2,|,nicaragua,2,1
Grenada,12,0,|,nicaragua,2,0
Grenada,12,0,|,nicaragua,2,0
Grenada,12,0,|,nicaragua,2,0
Grenada,12,0,|,nicaragua,2,0
Grenada,12,0,|,nicaragua,2,0
Grenada,12,0,|,nicaragua,2,0
Grenada,14,2,|,nicaragua,4,2
Grenada,,,|,nicaragua,4,0
Grenada,,,|,nicaragua,4,0
Grenada,,,|,nicaragua,5,1
Grenada,,,|,nicaragua,5,0
Grenada,,,|,nicaragua,5,0
Grenada,,,|,nicaragua,5,0
Grenada,,,|,nicaragua,5,0
Grenada,,,|,nicaragua,6,1
Grenada,,,|,nicaragua,6,0
Grenada,,,|,nicaragua,6,0
Grenada,,,|,nicaragua,6,0
Grenada,,,|,nicaragua,7,1
Grenada,,,|,nicaragua,7,0
Grenada,,,|,nicaragua,8,1
