Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
Holy See (Vatican City State),6,,|,belize,1,-12
Holy See (Vatican City State),7,1,|,belize,1,0
Holy See (Vatican City State),7,0,|,belize,2,1
Holy See (Vatican City State),7,0,|,belize,2,0
Holy See (Vatican City State),7,0,|,belize,2,0
Holy See (Vatican City State),7,0,|,belize,2,0
Holy See (Vatican City State),7,0,|,belize,2,0
Holy See (Vatican City State),8,1,|,belize,3,1
Holy See (Vatican City State),8,0,|,belize,3,0
Holy See (Vatican City State),8,0,|,belize,3,0
Holy See (Vatican City State),,,|,belize,3,0
Holy See (Vatican City State),,,|,belize,4,1
Holy See (Vatican City State),,,|,belize,4,0
Holy See (Vatican City State),,,|,belize,5,1
Holy See (Vatican City State),,,|,belize,7,2
Holy See (Vatican City State),,,|,belize,7,0
Holy See (Vatican City State),,,|,belize,8,1
Holy See (Vatican City State),,,|,belize,9,1
Holy See (Vatican City State),,,|,belize,10,1
Holy See (Vatican City State),,,|,belize,13,3
