Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
Holy See (Vatican City State),4,,|,bhutan,1,-4
Holy See (Vatican City State),4,0,|,bhutan,1,0
Holy See (Vatican City State),4,0,|,bhutan,1,0
Holy See (Vatican City State),6,2,|,bhutan,1,0
Holy See (Vatican City State),6,0,|,bhutan,1,0
Holy See (Vatican City State),6,0,|,bhutan,1,0
Holy See (Vatican City State),6,0,|,bhutan,1,0
Holy See (Vatican City State),6,0,|,bhutan,1,0
Holy See (Vatican City State),7,1,|,bhutan,1,0
Holy See (Vatican City State),7,0,|,bhutan,1,0
Holy See (Vatican City State),7,0,|,bhutan,1,0
Holy See (Vatican City State),7,0,|,bhutan,1,0
Holy See (Vatican City State),7,0,|,bhutan,1,0
Holy See (Vatican City State),7,0,|,bhutan,1,0
Holy See (Vatican City State),8,1,|,bhutan,2,1
Holy See (Vatican City State),8,0,|,bhutan,2,0
Holy See (Vatican City State),8,0,|,bhutan,2,0
Holy See (Vatican City State),,,|,bhutan,2,0
Holy See (Vatican City State),,,|,bhutan,2,0
Holy See (Vatican City State),,,|,bhutan,2,0
Holy See (Vatican City State),,,|,bhutan,2,0
Holy See (Vatican City State),,,|,bhutan,3,1
Holy See (Vatican City State),,,|,bhutan,3,0
Holy See (Vatican City State),,,|,bhutan,4,1
Holy See (Vatican City State),,,|,bhutan,4,0
Holy See (Vatican City State),,,|,bhutan,4,0
Holy See (Vatican City State),,,|,bhutan,4,0
Holy See (Vatican City State),,,|,bhutan,5,1
Holy See (Vatican City State),,,|,bhutan,5,0
Holy See (Vatican City State),,,|,bhutan,5,0
Holy See (Vatican City State),,,|,bhutan,5,0
Holy See (Vatican City State),,,|,bhutan,5,0
Holy See (Vatican City State),,,|,bhutan,5,0
Holy See (Vatican City State),,,|,bhutan,5,0
Holy See (Vatican City State),,,|,bhutan,5,0
Holy See (Vatican City State),,,|,bhutan,5,0
Holy See (Vatican City State),,,|,bhutan,5,0
