Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
Holy See (Vatican City State),7,,|,brazil,1,-20726
Holy See (Vatican City State),7,0,|,brazil,1,0
Holy See (Vatican City State),7,0,|,brazil,1,0
Holy See (Vatican City State),8,1,|,brazil,2,1
Holy See (Vatican City State),8,0,|,brazil,2,0
Holy See (Vatican City State),8,0,|,brazil,2,0
Holy See (Vatican City State),,,|,brazil,2,0
Holy See (Vatican City State),,,|,brazil,4,2
Holy See (Vatican City State),,,|,brazil,4,0
Holy See (Vatican City State),,,|,brazil,13,9
Holy See (Vatican City State),,,|,brazil,13,0
Holy See (Vatican City State),,,|,brazil,20,7
Holy See (Vatican City State),,,|,brazil,25,5
Holy See (Vatican City State),,,|,brazil,31,6
Holy See (Vatican City State),,,|,brazil,38,7
Holy See (Vatican City State),,,|,brazil,52,14
Holy See (Vatican City State),,,|,brazil,151,99
Holy See (Vatican City State),,,|,brazil,151,0
Holy See (Vatican City State),,,|,brazil,162,11
Holy See (Vatican City State),,,|,brazil,200,38
Holy See (Vatican City State),,,|,brazil,321,121
Holy See (Vatican City State),,,|,brazil,372,51
Holy See (Vatican City State),,,|,brazil,621,249
Holy See (Vatican City State),,,|,brazil,793,172
Holy See (Vatican City State),,,|,brazil,1021,228
Holy See (Vatican City State),,,|,brazil,1546,525
Holy See (Vatican City State),,,|,brazil,1924,378
Holy See (Vatican City State),,,|,brazil,2247,323
Holy See (Vatican City State),,,|,brazil,2554,307
Holy See (Vatican City State),,,|,brazil,2985,431
Holy See (Vatican City State),,,|,brazil,3417,432
Holy See (Vatican City State),,,|,brazil,3904,487
Holy See (Vatican City State),,,|,brazil,4256,352
Holy See (Vatican City State),,,|,brazil,4579,323
Holy See (Vatican City State),,,|,brazil,5717,1138
Holy See (Vatican City State),,,|,brazil,6836,1119
Holy See (Vatican City State),,,|,brazil,8044,1208
Holy See (Vatican City State),,,|,brazil,9056,1012
Holy See (Vatican City State),,,|,brazil,10360,1304
Holy See (Vatican City State),,,|,brazil,11130,770
Holy See (Vatican City State),,,|,brazil,12161,1031
Holy See (Vatican City State),,,|,brazil,14034,1873
Holy See (Vatican City State),,,|,brazil,16170,2136
Holy See (Vatican City State),,,|,brazil,18092,1922
Holy See (Vatican City State),,,|,brazil,19638,1546
Holy See (Vatican City State),,,|,brazil,20727,1089
