Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
Holy See (Vatican City State),1,,|,canada,1,-23315
Holy See (Vatican City State),1,0,|,canada,1,0
Holy See (Vatican City State),1,0,|,canada,2,1
Holy See (Vatican City State),1,0,|,canada,2,0
Holy See (Vatican City State),1,0,|,canada,2,0
Holy See (Vatican City State),1,0,|,canada,4,2
Holy See (Vatican City State),1,0,|,canada,4,0
Holy See (Vatican City State),4,3,|,canada,4,0
Holy See (Vatican City State),4,0,|,canada,4,0
Holy See (Vatican City State),4,0,|,canada,4,0
Holy See (Vatican City State),4,0,|,canada,5,1
Holy See (Vatican City State),6,2,|,canada,5,0
Holy See (Vatican City State),6,0,|,canada,7,2
Holy See (Vatican City State),6,0,|,canada,7,0
Holy See (Vatican City State),6,0,|,canada,7,0
Holy See (Vatican City State),6,0,|,canada,7,0
Holy See (Vatican City State),7,1,|,canada,7,0
Holy See (Vatican City State),7,0,|,canada,7,0
Holy See (Vatican City State),7,0,|,canada,7,0
Holy See (Vatican City State),7,0,|,canada,7,0
Holy See (Vatican City State),7,0,|,canada,7,0
Holy See (Vatican City State),7,0,|,canada,7,0
Holy See (Vatican City State),8,1,|,canada,8,1
Holy See (Vatican City State),8,0,|,canada,8,0
Holy See (Vatican City State),8,0,|,canada,8,0
Holy See (Vatican City State),,,|,canada,8,0
Holy See (Vatican City State),,,|,canada,9,1
Holy See (Vatican City State),,,|,canada,9,0
Holy See (Vatican City State),,,|,canada,9,0
Holy See (Vatican City State),,,|,canada,10,1
Holy See (Vatican City State),,,|,canada,11,1
Holy See (Vatican City State),,,|,canada,11,0
Holy See (Vatican City State),,,|,canada,13,2
Holy See (Vatican City State),,,|,canada,14,1
Holy See (Vatican City State),,,|,canada,20,6
Holy See (Vatican City State),,,|,canada,24,4
Holy See (Vatican City State),,,|,canada,27,3
Holy See (Vatican City State),,,|,canada,30,3
Holy See (Vatican City State),,,|,canada,33,3
Holy See (Vatican City State),,,|,canada,37,4
Holy See (Vatican City State),,,|,canada,49,12
Holy See (Vatican City State),,,|,canada,54,5
Holy See (Vatican City State),,,|,canada,64,10
Holy See (Vatican City State),,,|,canada,77,13
Holy See (Vatican City State),,,|,canada,79,2
Holy See (Vatican City State),,,|,canada,108,29
Holy See (Vatican City State),,,|,canada,117,9
Holy See (Vatican City State),,,|,canada,193,76
Holy See (Vatican City State),,,|,canada,198,5
Holy See (Vatican City State),,,|,canada,252,54
Holy See (Vatican City State),,,|,canada,415,163
Holy See (Vatican City State),,,|,canada,478,63
Holy See (Vatican City State),,,|,canada,657,179
Holy See (Vatican City State),,,|,canada,800,143
Holy See (Vatican City State),,,|,canada,943,143
Holy See (Vatican City State),,,|,canada,1277,334
Holy See (Vatican City State),,,|,canada,1469,192
Holy See (Vatican City State),,,|,canada,2088,619
Holy See (Vatican City State),,,|,canada,2790,702
Holy See (Vatican City State),,,|,canada,3251,461
Holy See (Vatican City State),,,|,canada,4042,791
Holy See (Vatican City State),,,|,canada,4682,640
Holy See (Vatican City State),,,|,canada,5576,894
Holy See (Vatican City State),,,|,canada,6280,704
Holy See (Vatican City State),,,|,canada,7398,1118
Holy See (Vatican City State),,,|,canada,8527,1129
Holy See (Vatican City State),,,|,canada,9560,1033
Holy See (Vatican City State),,,|,canada,11284,1724
Holy See (Vatican City State),,,|,canada,12437,1153
Holy See (Vatican City State),,,|,canada,12978,541
Holy See (Vatican City State),,,|,canada,15756,2778
Holy See (Vatican City State),,,|,canada,16563,807
Holy See (Vatican City State),,,|,canada,17872,1309
Holy See (Vatican City State),,,|,canada,19141,1269
Holy See (Vatican City State),,,|,canada,20654,1513
Holy See (Vatican City State),,,|,canada,22059,1405
Holy See (Vatican City State),,,|,canada,23316,1257
