Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
Holy See (Vatican City State),1,,|,egypt,1,-1938
Holy See (Vatican City State),4,3,|,egypt,1,0
Holy See (Vatican City State),4,0,|,egypt,1,0
Holy See (Vatican City State),4,0,|,egypt,1,0
Holy See (Vatican City State),4,0,|,egypt,1,0
Holy See (Vatican City State),6,2,|,egypt,1,0
Holy See (Vatican City State),6,0,|,egypt,1,0
Holy See (Vatican City State),6,0,|,egypt,1,0
Holy See (Vatican City State),6,0,|,egypt,1,0
Holy See (Vatican City State),6,0,|,egypt,1,0
Holy See (Vatican City State),7,1,|,egypt,1,0
Holy See (Vatican City State),7,0,|,egypt,1,0
Holy See (Vatican City State),7,0,|,egypt,1,0
Holy See (Vatican City State),7,0,|,egypt,1,0
Holy See (Vatican City State),7,0,|,egypt,1,0
Holy See (Vatican City State),7,0,|,egypt,1,0
Holy See (Vatican City State),8,1,|,egypt,2,1
Holy See (Vatican City State),8,0,|,egypt,2,0
Holy See (Vatican City State),8,0,|,egypt,2,0
Holy See (Vatican City State),,,|,egypt,2,0
Holy See (Vatican City State),,,|,egypt,3,1
Holy See (Vatican City State),,,|,egypt,15,12
Holy See (Vatican City State),,,|,egypt,15,0
Holy See (Vatican City State),,,|,egypt,49,34
Holy See (Vatican City State),,,|,egypt,55,6
Holy See (Vatican City State),,,|,egypt,59,4
Holy See (Vatican City State),,,|,egypt,60,1
Holy See (Vatican City State),,,|,egypt,67,7
Holy See (Vatican City State),,,|,egypt,80,13
Holy See (Vatican City State),,,|,egypt,109,29
Holy See (Vatican City State),,,|,egypt,110,1
Holy See (Vatican City State),,,|,egypt,150,40
Holy See (Vatican City State),,,|,egypt,196,46
Holy See (Vatican City State),,,|,egypt,196,0
Holy See (Vatican City State),,,|,egypt,256,60
Holy See (Vatican City State),,,|,egypt,285,29
Holy See (Vatican City State),,,|,egypt,294,9
Holy See (Vatican City State),,,|,egypt,327,33
Holy See (Vatican City State),,,|,egypt,366,39
Holy See (Vatican City State),,,|,egypt,402,36
Holy See (Vatican City State),,,|,egypt,456,54
Holy See (Vatican City State),,,|,egypt,495,39
Holy See (Vatican City State),,,|,egypt,536,41
Holy See (Vatican City State),,,|,egypt,576,40
Holy See (Vatican City State),,,|,egypt,609,33
Holy See (Vatican City State),,,|,egypt,656,47
Holy See (Vatican City State),,,|,egypt,710,54
Holy See (Vatican City State),,,|,egypt,779,69
Holy See (Vatican City State),,,|,egypt,865,86
Holy See (Vatican City State),,,|,egypt,985,120
Holy See (Vatican City State),,,|,egypt,1070,85
Holy See (Vatican City State),,,|,egypt,1173,103
Holy See (Vatican City State),,,|,egypt,1322,149
Holy See (Vatican City State),,,|,egypt,1450,128
Holy See (Vatican City State),,,|,egypt,1560,110
Holy See (Vatican City State),,,|,egypt,1699,139
Holy See (Vatican City State),,,|,egypt,1794,95
Holy See (Vatican City State),,,|,egypt,1939,145
