Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
Holy See (Vatican City State),4,,|,nicaragua,1,-7
Holy See (Vatican City State),6,2,|,nicaragua,1,0
Holy See (Vatican City State),6,0,|,nicaragua,2,1
Holy See (Vatican City State),6,0,|,nicaragua,2,0
Holy See (Vatican City State),6,0,|,nicaragua,2,0
Holy See (Vatican City State),6,0,|,nicaragua,2,0
Holy See (Vatican City State),7,1,|,nicaragua,2,0
Holy See (Vatican City State),7,0,|,nicaragua,2,0
Holy See (Vatican City State),7,0,|,nicaragua,2,0
Holy See (Vatican City State),7,0,|,nicaragua,4,2
Holy See (Vatican City State),7,0,|,nicaragua,4,0
Holy See (Vatican City State),7,0,|,nicaragua,4,0
Holy See (Vatican City State),8,1,|,nicaragua,5,1
Holy See (Vatican City State),8,0,|,nicaragua,5,0
Holy See (Vatican City State),8,0,|,nicaragua,5,0
Holy See (Vatican City State),,,|,nicaragua,5,0
Holy See (Vatican City State),,,|,nicaragua,5,0
Holy See (Vatican City State),,,|,nicaragua,6,1
Holy See (Vatican City State),,,|,nicaragua,6,0
Holy See (Vatican City State),,,|,nicaragua,6,0
Holy See (Vatican City State),,,|,nicaragua,6,0
Holy See (Vatican City State),,,|,nicaragua,7,1
Holy See (Vatican City State),,,|,nicaragua,7,0
Holy See (Vatican City State),,,|,nicaragua,8,1
