Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
Holy See (Vatican City State),1,,|,thailand,2,-2516
Holy See (Vatican City State),1,0,|,thailand,3,1
Holy See (Vatican City State),1,0,|,thailand,5,2
Holy See (Vatican City State),1,0,|,thailand,7,2
Holy See (Vatican City State),1,0,|,thailand,8,1
Holy See (Vatican City State),4,3,|,thailand,8,0
Holy See (Vatican City State),4,0,|,thailand,14,6
Holy See (Vatican City State),4,0,|,thailand,14,0
Holy See (Vatican City State),4,0,|,thailand,14,0
Holy See (Vatican City State),6,2,|,thailand,19,5
Holy See (Vatican City State),6,0,|,thailand,19,0
Holy See (Vatican City State),6,0,|,thailand,19,0
Holy See (Vatican City State),6,0,|,thailand,19,0
Holy See (Vatican City State),6,0,|,thailand,25,6
Holy See (Vatican City State),7,1,|,thailand,25,0
Holy See (Vatican City State),7,0,|,thailand,25,0
Holy See (Vatican City State),7,0,|,thailand,25,0
Holy See (Vatican City State),7,0,|,thailand,32,7
Holy See (Vatican City State),7,0,|,thailand,32,0
Holy See (Vatican City State),7,0,|,thailand,32,0
Holy See (Vatican City State),8,1,|,thailand,33,1
Holy See (Vatican City State),8,0,|,thailand,33,0
Holy See (Vatican City State),8,0,|,thailand,33,0
Holy See (Vatican City State),,,|,thailand,33,0
Holy See (Vatican City State),,,|,thailand,33,0
Holy See (Vatican City State),,,|,thailand,34,1
Holy See (Vatican City State),,,|,thailand,35,1
Holy See (Vatican City State),,,|,thailand,35,0
Holy See (Vatican City State),,,|,thailand,35,0
Holy See (Vatican City State),,,|,thailand,35,0
Holy See (Vatican City State),,,|,thailand,35,0
Holy See (Vatican City State),,,|,thailand,35,0
Holy See (Vatican City State),,,|,thailand,35,0
Holy See (Vatican City State),,,|,thailand,35,0
Holy See (Vatican City State),,,|,thailand,37,2
Holy See (Vatican City State),,,|,thailand,40,3
Holy See (Vatican City State),,,|,thailand,40,0
Holy See (Vatican City State),,,|,thailand,41,1
Holy See (Vatican City State),,,|,thailand,42,1
Holy See (Vatican City State),,,|,thailand,42,0
Holy See (Vatican City State),,,|,thailand,43,1
Holy See (Vatican City State),,,|,thailand,43,0
Holy See (Vatican City State),,,|,thailand,43,0
Holy See (Vatican City State),,,|,thailand,47,4
Holy See (Vatican City State),,,|,thailand,48,1
Holy See (Vatican City State),,,|,thailand,50,2
Holy See (Vatican City State),,,|,thailand,50,0
Holy See (Vatican City State),,,|,thailand,50,0
Holy See (Vatican City State),,,|,thailand,53,3
Holy See (Vatican City State),,,|,thailand,59,6
Holy See (Vatican City State),,,|,thailand,70,11
Holy See (Vatican City State),,,|,thailand,75,5
Holy See (Vatican City State),,,|,thailand,82,7
Holy See (Vatican City State),,,|,thailand,114,32
Holy See (Vatican City State),,,|,thailand,147,33
Holy See (Vatican City State),,,|,thailand,177,30
Holy See (Vatican City State),,,|,thailand,212,35
Holy See (Vatican City State),,,|,thailand,272,60
Holy See (Vatican City State),,,|,thailand,322,50
Holy See (Vatican City State),,,|,thailand,411,89
Holy See (Vatican City State),,,|,thailand,599,188
Holy See (Vatican City State),,,|,thailand,721,122
Holy See (Vatican City State),,,|,thailand,827,106
Holy See (Vatican City State),,,|,thailand,934,107
Holy See (Vatican City State),,,|,thailand,1045,111
Holy See (Vatican City State),,,|,thailand,1136,91
Holy See (Vatican City State),,,|,thailand,1245,109
Holy See (Vatican City State),,,|,thailand,1388,143
Holy See (Vatican City State),,,|,thailand,1524,136
Holy See (Vatican City State),,,|,thailand,1651,127
Holy See (Vatican City State),,,|,thailand,1771,120
Holy See (Vatican City State),,,|,thailand,1875,104
Holy See (Vatican City State),,,|,thailand,1978,103
Holy See (Vatican City State),,,|,thailand,2067,89
Holy See (Vatican City State),,,|,thailand,2169,102
Holy See (Vatican City State),,,|,thailand,2220,51
Holy See (Vatican City State),,,|,thailand,2258,38
Holy See (Vatican City State),,,|,thailand,2369,111
Holy See (Vatican City State),,,|,thailand,2423,54
Holy See (Vatican City State),,,|,thailand,2473,50
Holy See (Vatican City State),,,|,thailand,2518,45
