Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
Israel,,,|,australia,4,-6299
Israel,,,|,australia,5,1
Israel,,,|,australia,5,0
Israel,,,|,australia,6,1
Israel,,,|,australia,9,3
Israel,,,|,australia,9,0
Israel,,,|,australia,12,3
Israel,,,|,australia,12,0
Israel,,,|,australia,12,0
Israel,,,|,australia,13,1
Israel,,,|,australia,13,0
Israel,,,|,australia,14,1
Israel,,,|,australia,15,1
Israel,,,|,australia,15,0
Israel,1,,|,australia,15,0
Israel,1,0,|,australia,15,0
Israel,1,0,|,australia,15,0
Israel,1,0,|,australia,15,0
Israel,1,0,|,australia,15,0
Israel,2,1,|,australia,15,0
Israel,3,1,|,australia,15,0
Israel,4,1,|,australia,15,0
Israel,7,3,|,australia,15,0
Israel,10,3,|,australia,15,0
Israel,10,0,|,australia,15,0
Israel,12,2,|,australia,15,0
Israel,15,3,|,australia,15,0
Israel,20,5,|,australia,15,0
Israel,37,17,|,australia,15,0
Israel,43,6,|,australia,15,0
Israel,61,18,|,australia,15,0
Israel,61,0,|,australia,15,0
Israel,75,14,|,australia,15,0
Israel,79,4,|,australia,15,0
Israel,100,21,|,australia,25,10
Israel,126,26,|,australia,27,2
Israel,155,29,|,australia,30,3
Israel,213,58,|,australia,39,9
Israel,218,5,|,australia,52,13
Israel,250,32,|,australia,55,3
Israel,304,54,|,australia,60,5
Israel,427,123,|,australia,63,3
Israel,529,102,|,australia,76,13
Israel,712,183,|,australia,91,15
Israel,883,171,|,australia,107,16
Israel,1071,188,|,australia,128,21
Israel,1238,167,|,australia,128,0
Israel,2369,1131,|,australia,200,72
Israel,2693,324,|,australia,250,50
Israel,3035,342,|,australia,297,47
Israel,3619,584,|,australia,377,80
Israel,4247,628,|,australia,452,75
Israel,4695,448,|,australia,568,116
Israel,5358,663,|,australia,681,113
Israel,6092,734,|,australia,791,110
Israel,6857,765,|,australia,1071,280
Israel,7428,571,|,australia,1549,478
Israel,7851,423,|,australia,1682,133
Israel,8430,579,|,australia,2044,362
Israel,8904,474,|,australia,2364,320
Israel,9248,344,|,australia,2810,446
Israel,9404,156,|,australia,3143,333
Israel,9968,564,|,australia,3640,497
Israel,10408,440,|,australia,3984,344
Israel,10743,335,|,australia,4361,377
Israel,,,|,australia,4559,198
Israel,,,|,australia,4862,303
Israel,,,|,australia,5116,254
Israel,,,|,australia,5330,214
Israel,,,|,australia,5550,220
Israel,,,|,australia,5687,137
Israel,,,|,australia,5797,110
Israel,,,|,australia,5895,98
Israel,,,|,australia,6010,115
Israel,,,|,australia,6108,98
Israel,,,|,australia,6215,107
Israel,,,|,australia,6303,88
