Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
Israel,7,,|,austria,2,-13804
Israel,10,3,|,austria,2,0
Israel,10,0,|,austria,3,1
Israel,12,2,|,austria,3,0
Israel,15,3,|,austria,9,6
Israel,20,5,|,austria,14,5
Israel,37,17,|,austria,18,4
Israel,43,6,|,austria,21,3
Israel,61,18,|,austria,29,8
Israel,61,0,|,austria,41,12
Israel,75,14,|,austria,55,14
Israel,79,4,|,austria,79,24
Israel,100,21,|,austria,104,25
Israel,126,26,|,austria,131,27
Israel,155,29,|,austria,182,51
Israel,213,58,|,austria,246,64
Israel,218,5,|,austria,302,56
Israel,250,32,|,austria,504,202
Israel,304,54,|,austria,655,151
Israel,427,123,|,austria,860,205
Israel,529,102,|,austria,1018,158
Israel,712,183,|,austria,1332,314
Israel,883,171,|,austria,1646,314
Israel,1071,188,|,austria,2013,367
Israel,1238,167,|,austria,2388,375
Israel,2369,1131,|,austria,2814,426
Israel,2693,324,|,austria,3582,768
Israel,3035,342,|,austria,4474,892
Israel,3619,584,|,austria,5283,809
Israel,4247,628,|,austria,5588,305
Israel,4695,448,|,austria,6909,1321
Israel,5358,663,|,austria,7657,748
Israel,6092,734,|,austria,8271,614
Israel,6857,765,|,austria,8788,517
Israel,7428,571,|,austria,9618,830
Israel,7851,423,|,austria,10180,562
Israel,8430,579,|,austria,10711,531
Israel,8904,474,|,austria,11129,418
Israel,9248,344,|,austria,11524,395
Israel,9404,156,|,austria,11781,257
Israel,9968,564,|,austria,12051,270
Israel,10408,440,|,austria,12297,246
Israel,,,|,austria,12639,342
Israel,,,|,austria,12942,303
Israel,,,|,austria,13244,302
Israel,,,|,austria,13555,311
Israel,,,|,austria,13806,251
