Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
Israel,79,,|,brazil,1,-20726
Israel,100,21,|,brazil,1,0
Israel,126,26,|,brazil,1,0
Israel,155,29,|,brazil,2,1
Israel,213,58,|,brazil,2,0
Israel,218,5,|,brazil,2,0
Israel,250,32,|,brazil,2,0
Israel,304,54,|,brazil,4,2
Israel,427,123,|,brazil,4,0
Israel,529,102,|,brazil,13,9
Israel,712,183,|,brazil,13,0
Israel,883,171,|,brazil,20,7
Israel,1071,188,|,brazil,25,5
Israel,1238,167,|,brazil,31,6
Israel,2369,1131,|,brazil,38,7
Israel,2693,324,|,brazil,52,14
Israel,3035,342,|,brazil,151,99
Israel,3619,584,|,brazil,151,0
Israel,4247,628,|,brazil,162,11
Israel,4695,448,|,brazil,200,38
Israel,5358,663,|,brazil,321,121
Israel,6092,734,|,brazil,372,51
Israel,6857,765,|,brazil,621,249
Israel,7428,571,|,brazil,793,172
Israel,7851,423,|,brazil,1021,228
Israel,8430,579,|,brazil,1546,525
Israel,8904,474,|,brazil,1924,378
Israel,9248,344,|,brazil,2247,323
Israel,9404,156,|,brazil,2554,307
Israel,9968,564,|,brazil,2985,431
Israel,10408,440,|,brazil,3417,432
Israel,,,|,brazil,3904,487
Israel,,,|,brazil,4256,352
Israel,,,|,brazil,4579,323
Israel,,,|,brazil,5717,1138
Israel,,,|,brazil,6836,1119
Israel,,,|,brazil,8044,1208
Israel,,,|,brazil,9056,1012
Israel,,,|,brazil,10360,1304
Israel,,,|,brazil,11130,770
Israel,,,|,brazil,12161,1031
Israel,,,|,brazil,14034,1873
Israel,,,|,brazil,16170,2136
Israel,,,|,brazil,18092,1922
Israel,,,|,brazil,19638,1546
Israel,,,|,brazil,20727,1089
