Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
Israel,10,,|,china,548,-82466
Israel,12,2,|,china,643,95
Israel,15,3,|,china,920,277
Israel,20,5,|,china,1406,486
Israel,37,17,|,china,2075,669
Israel,43,6,|,china,2877,802
Israel,61,18,|,china,5509,2632
Israel,61,0,|,china,6087,578
Israel,75,14,|,china,8141,2054
Israel,79,4,|,china,9802,1661
Israel,100,21,|,china,11891,2089
Israel,126,26,|,china,16630,4739
Israel,155,29,|,china,19716,3086
Israel,213,58,|,china,23707,3991
Israel,218,5,|,china,27440,3733
Israel,250,32,|,china,30587,3147
Israel,304,54,|,china,34110,3523
Israel,427,123,|,china,36814,2704
Israel,529,102,|,china,39829,3015
Israel,712,183,|,china,42354,2525
Israel,883,171,|,china,44386,2032
Israel,1071,188,|,china,44759,373
Israel,1238,167,|,china,59895,15136
Israel,2369,1131,|,china,66358,6463
Israel,2693,324,|,china,68413,2055
Israel,3035,342,|,china,70513,2100
Israel,3619,584,|,china,72434,1921
Israel,4247,628,|,china,74211,1777
Israel,4695,448,|,china,74619,408
Israel,5358,663,|,china,75077,458
Israel,6092,734,|,china,75550,473
Israel,6857,765,|,china,77001,1451
Israel,7428,571,|,china,77022,21
Israel,7851,423,|,china,77241,219
Israel,8430,579,|,china,77754,513
Israel,8904,474,|,china,78166,412
Israel,9248,344,|,china,78600,434
Israel,9404,156,|,china,78928,328
Israel,9968,564,|,china,79356,428
Israel,10408,440,|,china,79932,576
Israel,,,|,china,80136,204
Israel,,,|,china,80261,125
Israel,,,|,china,80386,125
Israel,,,|,china,80537,151
Israel,,,|,china,80690,153
Israel,,,|,china,80770,80
Israel,,,|,china,80823,53
Israel,,,|,china,80860,37
Israel,,,|,china,80887,27
Israel,,,|,china,80921,34
Israel,,,|,china,80932,11
Israel,,,|,china,80945,13
Israel,,,|,china,80977,32
Israel,,,|,china,81003,26
Israel,,,|,china,81033,30
Israel,,,|,china,81058,25
Israel,,,|,china,81102,44
Israel,,,|,china,81156,54
Israel,,,|,china,81250,94
Israel,,,|,china,81305,55
Israel,,,|,china,81435,130
Israel,,,|,china,81498,63
Israel,,,|,china,81591,93
Israel,,,|,china,81661,70
Israel,,,|,china,81782,121
Israel,,,|,china,81897,115
Israel,,,|,china,81999,102
Israel,,,|,china,82122,123
Israel,,,|,china,82198,76
Israel,,,|,china,82279,81
Israel,,,|,china,82361,82
Israel,,,|,china,82432,71
Israel,,,|,china,82511,79
Israel,,,|,china,82543,32
Israel,,,|,china,82602,59
Israel,,,|,china,82665,63
Israel,,,|,china,82718,53
Israel,,,|,china,82809,91
Israel,,,|,china,82883,74
Israel,,,|,china,82941,58
Israel,,,|,china,83014,73
