Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
Israel,10,,|,denmark,1,-6190
Israel,10,0,|,denmark,1,0
Israel,12,2,|,denmark,3,2
Israel,15,3,|,denmark,4,1
Israel,20,5,|,denmark,4,0
Israel,37,17,|,denmark,6,2
Israel,43,6,|,denmark,11,5
Israel,61,18,|,denmark,11,0
Israel,61,0,|,denmark,24,13
Israel,75,14,|,denmark,24,0
Israel,79,4,|,denmark,37,13
Israel,100,21,|,denmark,92,55
Israel,126,26,|,denmark,264,172
Israel,155,29,|,denmark,444,180
Israel,213,58,|,denmark,617,173
Israel,218,5,|,denmark,804,187
Israel,250,32,|,denmark,836,32
Israel,304,54,|,denmark,875,39
Israel,427,123,|,denmark,933,58
Israel,529,102,|,denmark,1025,92
Israel,712,183,|,denmark,1116,91
Israel,883,171,|,denmark,1225,109
Israel,1071,188,|,denmark,1337,112
Israel,1238,167,|,denmark,1420,83
Israel,2369,1131,|,denmark,1514,94
Israel,2693,324,|,denmark,1572,58
Israel,3035,342,|,denmark,1718,146
Israel,3619,584,|,denmark,1862,144
Israel,4247,628,|,denmark,2023,161
Israel,4695,448,|,denmark,2200,177
Israel,5358,663,|,denmark,2366,166
Israel,6092,734,|,denmark,2564,198
Israel,6857,765,|,denmark,2755,191
Israel,7428,571,|,denmark,3039,284
Israel,7851,423,|,denmark,3290,251
Israel,8430,579,|,denmark,3573,283
Israel,8904,474,|,denmark,3946,373
Israel,9248,344,|,denmark,4269,323
Israel,9404,156,|,denmark,4561,292
Israel,9968,564,|,denmark,4875,314
Israel,10408,440,|,denmark,5266,391
Israel,,,|,denmark,5597,331
Israel,,,|,denmark,5830,233
Israel,,,|,denmark,6014,184
Israel,,,|,denmark,6191,177
