Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
Israel,75,,|,italy,2,-152269
Israel,79,4,|,italy,2,0
Israel,100,21,|,italy,2,0
Israel,126,26,|,italy,2,0
Israel,155,29,|,italy,2,0
Israel,213,58,|,italy,2,0
Israel,218,5,|,italy,2,0
Israel,250,32,|,italy,3,1
Israel,304,54,|,italy,3,0
Israel,427,123,|,italy,3,0
Israel,529,102,|,italy,3,0
Israel,712,183,|,italy,3,0
Israel,883,171,|,italy,3,0
Israel,1071,188,|,italy,3,0
Israel,1238,167,|,italy,3,0
Israel,2369,1131,|,italy,3,0
Israel,2693,324,|,italy,3,0
Israel,3035,342,|,italy,3,0
Israel,3619,584,|,italy,3,0
Israel,4247,628,|,italy,3,0
Israel,4695,448,|,italy,3,0
Israel,5358,663,|,italy,20,17
Israel,6092,734,|,italy,62,42
Israel,6857,765,|,italy,155,93
Israel,7428,571,|,italy,229,74
Israel,7851,423,|,italy,322,93
Israel,8430,579,|,italy,453,131
Israel,8904,474,|,italy,655,202
Israel,9248,344,|,italy,888,233
Israel,9404,156,|,italy,1128,240
Israel,9968,564,|,italy,1694,566
Israel,10408,440,|,italy,2036,342
Israel,,,|,italy,2502,466
Israel,,,|,italy,3089,587
Israel,,,|,italy,3858,769
Israel,,,|,italy,4636,778
Israel,,,|,italy,5883,1247
Israel,,,|,italy,7375,1492
Israel,,,|,italy,9172,1797
Israel,,,|,italy,10149,977
Israel,,,|,italy,12462,2313
Israel,,,|,italy,12462,0
Israel,,,|,italy,17660,5198
Israel,,,|,italy,21157,3497
Israel,,,|,italy,24747,3590
Israel,,,|,italy,27980,3233
Israel,,,|,italy,31506,3526
Israel,,,|,italy,35713,4207
Israel,,,|,italy,41035,5322
Israel,,,|,italy,47021,5986
Israel,,,|,italy,53578,6557
Israel,,,|,italy,59138,5560
Israel,,,|,italy,63927,4789
Israel,,,|,italy,69176,5249
Israel,,,|,italy,74386,5210
Israel,,,|,italy,80589,6203
Israel,,,|,italy,86498,5909
Israel,,,|,italy,92472,5974
Israel,,,|,italy,97689,5217
Israel,,,|,italy,101739,4050
Israel,,,|,italy,105792,4053
Israel,,,|,italy,110574,4782
Israel,,,|,italy,115242,4668
Israel,,,|,italy,119827,4585
Israel,,,|,italy,124632,4805
Israel,,,|,italy,128948,4316
Israel,,,|,italy,132547,3599
Israel,,,|,italy,135586,3039
Israel,,,|,italy,139422,3836
Israel,,,|,italy,143626,4204
Israel,,,|,italy,147577,3951
Israel,,,|,italy,152271,4694
