Country 1,Confirmed Cases:,Daily Delta:,|,Country 2,Confirmed Cases:,Daily Delta:
Israel,,,|,philippines,1,-4427
Israel,,,|,philippines,1,0
Israel,,,|,philippines,1,0
Israel,,,|,philippines,2,1
Israel,,,|,philippines,2,0
Israel,,,|,philippines,2,0
Israel,,,|,philippines,2,0
Israel,,,|,philippines,2,0
Israel,,,|,philippines,3,1
Israel,,,|,philippines,3,0
Israel,,,|,philippines,3,0
Israel,,,|,philippines,3,0
Israel,,,|,philippines,3,0
Israel,1,,|,philippines,3,0
Israel,1,0,|,philippines,3,0
Israel,1,0,|,philippines,3,0
Israel,1,0,|,philippines,3,0
Israel,1,0,|,philippines,3,0
Israel,2,1,|,philippines,3,0
Israel,3,1,|,philippines,3,0
Israel,4,1,|,philippines,3,0
Israel,7,3,|,philippines,3,0
Israel,10,3,|,philippines,3,0
Israel,10,0,|,philippines,3,0
Israel,12,2,|,philippines,3,0
Israel,15,3,|,philippines,3,0
Israel,20,5,|,philippines,3,0
Israel,37,17,|,philippines,3,0
Israel,43,6,|,philippines,3,0
Israel,61,18,|,philippines,3,0
Israel,61,0,|,philippines,3,0
Israel,75,14,|,philippines,3,0
Israel,79,4,|,philippines,3,0
Israel,100,21,|,philippines,3,0
Israel,126,26,|,philippines,3,0
Israel,155,29,|,philippines,3,0
Israel,213,58,|,philippines,5,2
Israel,218,5,|,philippines,6,1
Israel,250,32,|,philippines,10,4
Israel,304,54,|,philippines,20,10
Israel,427,123,|,philippines,33,13
Israel,529,102,|,philippines,49,16
Israel,712,183,|,philippines,52,3
Israel,883,171,|,philippines,64,12
Israel,1071,188,|,philippines,111,47
Israel,1238,167,|,philippines,140,29
Israel,2369,1131,|,philippines,142,2
Israel,2693,324,|,philippines,187,45
Israel,3035,342,|,philippines,202,15
Israel,3619,584,|,philippines,217,15
Israel,4247,628,|,philippines,230,13
Israel,4695,448,|,philippines,307,77
Israel,5358,663,|,philippines,380,73
Israel,6092,734,|,philippines,462,82
Israel,6857,765,|,philippines,552,90
Israel,7428,571,|,philippines,636,84
Israel,7851,423,|,philippines,707,71
Israel,8430,579,|,philippines,803,96
Israel,8904,474,|,philippines,1075,272
Israel,9248,344,|,philippines,1418,343
Israel,9404,156,|,philippines,1546,128
Israel,9968,564,|,philippines,2084,538
Israel,10408,440,|,philippines,2311,227
Israel,10743,335,|,philippines,2633,322
Israel,,,|,philippines,3018,385
Israel,,,|,philippines,3094,76
Israel,,,|,philippines,3246,152
Israel,,,|,philippines,3660,414
Israel,,,|,philippines,3764,104
Israel,,,|,philippines,3870,106
Israel,,,|,philippines,4076,206
Israel,,,|,philippines,4195,119
Israel,,,|,philippines,4428,233
